,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.5125661375661376,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
1,PWCCA,AUPRC,0.1820130732604933,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
2,SVCCA,violation_rate,0.226,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
3,SVCCA,AUPRC,0.43709080432595265,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
4,HardCorrelationMatch,violation_rate,0.33066666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
5,HardCorrelationMatch,AUPRC,0.2444177816098793,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
6,SoftCorrelationMatch,violation_rate,0.27666666666666667,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
7,SoftCorrelationMatch,AUPRC,0.27736633651704223,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
8,DistanceCorrelation,violation_rate,0.15066666666666667,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
9,DistanceCorrelation,AUPRC,0.45253726310631687,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
10,EigenspaceOverlapScore,violation_rate,0.2886666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
11,EigenspaceOverlapScore,AUPRC,0.26688684240665217,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
12,IMDScore,violation_rate,0.2493333333333333,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
13,IMDScore,AUPRC,0.42947067381222565,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
14,Gulp,violation_rate,0.30666666666666664,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
15,Gulp,AUPRC,0.25582033498028073,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
16,LinearRegression,violation_rate,0.342,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
17,LinearRegression,AUPRC,0.23844154244836016,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
18,JaccardSimilarity,violation_rate,0.26266666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
19,JaccardSimilarity,AUPRC,0.34928549509199663,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
20,RankSimilarity,violation_rate,0.2913333333333334,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
21,RankSimilarity,AUPRC,0.3347870975425618,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
22,SecondOrderCosineSimilarity,violation_rate,0.3646666666666667,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
23,SecondOrderCosineSimilarity,AUPRC,0.4404629000074956,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
24,AlignedCosineSimilarity,violation_rate,0.20066666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
25,AlignedCosineSimilarity,AUPRC,0.35438369830097405,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.16466666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.37855519924405373,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.16466666666666666,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.37855519924405373,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
30,PermutationProcrustes,violation_rate,0.5113333333333333,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
31,PermutationProcrustes,AUPRC,0.17665684881913504,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
32,ProcrustesSizeAndShapeDistance,violation_rate,0.26733333333333337,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
33,ProcrustesSizeAndShapeDistance,AUPRC,0.3181307694821893,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
34,RSA,violation_rate,0.13799999999999998,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
35,RSA,AUPRC,0.4865930877343711,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
36,RSMNormDifference,violation_rate,0.336,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
37,RSMNormDifference,AUPRC,0.3544013020987425,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
38,ConcentricityDifference,violation_rate,0.39333333333333337,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
39,ConcentricityDifference,AUPRC,0.28426987205589216,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
40,MagnitudeDifference,violation_rate,0.5459999999999999,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
41,MagnitudeDifference,AUPRC,0.16381079051323985,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
42,UniformityDifference,violation_rate,0.16333333333333333,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
43,UniformityDifference,AUPRC,0.612387789344311,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
44,CKA,violation_rate,0.12933333333333333,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
45,CKA,AUPRC,0.47884672698398195,NLP,BERT-L,mnli_aug_rate0,Augmentation_25
