,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.625,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
1,PWCCA,AUPRC,0.35,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
2,SVCCA,violation_rate,0.316,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
3,SVCCA,AUPRC,0.60697986549794,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
4,HardCorrelationMatch,violation_rate,0.508,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
5,HardCorrelationMatch,AUPRC,0.3443222319480054,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
6,SoftCorrelationMatch,violation_rate,0.47800000000000004,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
7,SoftCorrelationMatch,AUPRC,0.4114719437697379,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
8,DistanceCorrelation,violation_rate,0.314,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
9,DistanceCorrelation,AUPRC,0.6160452737982438,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
10,EigenspaceOverlapScore,violation_rate,0.51,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
11,EigenspaceOverlapScore,AUPRC,0.3044623582243464,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
12,IMDScore,violation_rate,0.532,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
13,IMDScore,AUPRC,0.3042949229419818,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
14,Gulp,violation_rate,0.528,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
15,Gulp,AUPRC,0.32813618189298766,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
16,LinearRegression,violation_rate,0.45399999999999996,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
17,LinearRegression,AUPRC,0.4010854583886571,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
18,JaccardSimilarity,violation_rate,0.388,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
19,JaccardSimilarity,AUPRC,0.3912656335648622,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
20,RankSimilarity,violation_rate,0.434,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
21,RankSimilarity,AUPRC,0.35572387816002365,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
22,SecondOrderCosineSimilarity,violation_rate,0.36,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
23,SecondOrderCosineSimilarity,AUPRC,0.40385931025692023,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
24,AlignedCosineSimilarity,violation_rate,0.37,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
25,AlignedCosineSimilarity,AUPRC,0.45227128427128427,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.376,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.5193985310713252,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.376,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.5193985310713252,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
30,PermutationProcrustes,violation_rate,0.562,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
31,PermutationProcrustes,AUPRC,0.3105037930854361,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
32,ProcrustesSizeAndShapeDistance,violation_rate,0.36,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
33,ProcrustesSizeAndShapeDistance,AUPRC,0.43292113497293805,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
34,RSA,violation_rate,0.316,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
35,RSA,AUPRC,0.6094552038463329,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
36,RSMNormDifference,violation_rate,0.41600000000000004,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
37,RSMNormDifference,AUPRC,0.3433487546727802,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
38,ConcentricityDifference,violation_rate,0.49,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
39,ConcentricityDifference,AUPRC,0.3198661964397258,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
40,MagnitudeDifference,violation_rate,0.538,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
41,MagnitudeDifference,AUPRC,0.30579412535710593,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
42,UniformityDifference,violation_rate,0.544,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
43,UniformityDifference,AUPRC,0.3277004063001505,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
44,CKA,violation_rate,0.316,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
45,CKA,AUPRC,0.6072239383236825,NLP,BERT-L,sst2_aug_rate0,Augmentation_100
