,similarity_measure,functional_similarity_measure,quality_measure,corr,pval,domain,architecture,representation_dataset,identifier
0,PWCCA,JSD,pearsonr,0.20889369708198305,0.2679403759621024,NLP,BERT-L,mnli,Normal
1,PWCCA,JSD,spearmanr,0.22016743841347128,0.24237154792988846,NLP,BERT-L,mnli,Normal
2,PWCCA,JSD,kendalltau,0.15440972939559122,0.23786931696153535,NLP,BERT-L,mnli,Normal
3,PWCCA,Disagreement,pearsonr,-0.3986244465856698,0.029114853586472225,NLP,BERT-L,mnli,Normal
4,PWCCA,Disagreement,spearmanr,-0.3708083173279516,0.043668123401951954,NLP,BERT-L,mnli,Normal
5,PWCCA,Disagreement,kendalltau,-0.2854240452463959,0.029122775260555185,NLP,BERT-L,mnli,Normal
6,PWCCA,AbsoluteAccDiff,pearsonr,0.03834831531301423,0.8405491564159571,NLP,BERT-L,mnli,Normal
7,PWCCA,AbsoluteAccDiff,spearmanr,0.013865784691655787,0.9420271033730815,NLP,BERT-L,mnli,Normal
8,PWCCA,AbsoluteAccDiff,kendalltau,0.009541676326376432,0.9427275518441307,NLP,BERT-L,mnli,Normal
9,SVCCA,JSD,pearsonr,0.456668655650987,0.001614597262597182,NLP,BERT-L,mnli,Normal
10,SVCCA,JSD,spearmanr,0.46693017127799735,0.0012229765115757824,NLP,BERT-L,mnli,Normal
11,SVCCA,JSD,kendalltau,0.3171717171717171,0.0021288031240870716,NLP,BERT-L,mnli,Normal
12,SVCCA,Disagreement,pearsonr,-0.047542926148045735,0.7564633259782062,NLP,BERT-L,mnli,Normal
13,SVCCA,Disagreement,spearmanr,0.0027683489827467337,0.9856004923531873,NLP,BERT-L,mnli,Normal
14,SVCCA,Disagreement,kendalltau,-0.010173197921645501,0.9220131513199896,NLP,BERT-L,mnli,Normal
15,SVCCA,AbsoluteAccDiff,pearsonr,0.29455454791308266,0.049513009734122,NLP,BERT-L,mnli,Normal
16,SVCCA,AbsoluteAccDiff,spearmanr,0.3182253609295653,0.033140595187197086,NLP,BERT-L,mnli,Normal
17,SVCCA,AbsoluteAccDiff,kendalltau,0.21928617268847014,0.03525802635389157,NLP,BERT-L,mnli,Normal
18,HardCorrelationMatch,JSD,pearsonr,-0.24403034136621837,0.10620932086092248,NLP,BERT-L,mnli,Normal
19,HardCorrelationMatch,JSD,spearmanr,-0.2657444005270092,0.07766787358529846,NLP,BERT-L,mnli,Normal
20,HardCorrelationMatch,JSD,kendalltau,-0.1818181818181818,0.07826928726353054,NLP,BERT-L,mnli,Normal
21,HardCorrelationMatch,Disagreement,pearsonr,-0.36292189787486345,0.014276611088595417,NLP,BERT-L,mnli,Normal
22,HardCorrelationMatch,Disagreement,spearmanr,-0.43449896414920164,0.0028601415105142854,NLP,BERT-L,mnli,Normal
23,HardCorrelationMatch,Disagreement,kendalltau,-0.30519593764936503,0.0033146270392852917,NLP,BERT-L,mnli,Normal
24,HardCorrelationMatch,AbsoluteAccDiff,pearsonr,0.03518488086664049,0.8185141464074798,NLP,BERT-L,mnli,Normal
25,HardCorrelationMatch,AbsoluteAccDiff,spearmanr,0.04311567972818225,0.7785412149898845,NLP,BERT-L,mnli,Normal
26,HardCorrelationMatch,AbsoluteAccDiff,kendalltau,0.015299035303846754,0.8832210941006285,NLP,BERT-L,mnli,Normal
27,SoftCorrelationMatch,JSD,pearsonr,-0.19540593478334664,0.198311021161387,NLP,BERT-L,mnli,Normal
28,SoftCorrelationMatch,JSD,spearmanr,-0.2284584980237154,0.1311806846707289,NLP,BERT-L,mnli,Normal
29,SoftCorrelationMatch,JSD,kendalltau,-0.1414141414141414,0.1708352985337832,NLP,BERT-L,mnli,Normal
30,SoftCorrelationMatch,Disagreement,pearsonr,-0.34890523944049073,0.018823159128196616,NLP,BERT-L,mnli,Normal
31,SoftCorrelationMatch,Disagreement,spearmanr,-0.41742747875559677,0.00433218710136183,NLP,BERT-L,mnli,Normal
32,SoftCorrelationMatch,Disagreement,kendalltau,-0.2970573793120487,0.0042547925080279264,NLP,BERT-L,mnli,Normal
33,SoftCorrelationMatch,AbsoluteAccDiff,pearsonr,0.0669896027514662,0.6619474436670215,NLP,BERT-L,mnli,Normal
34,SoftCorrelationMatch,AbsoluteAccDiff,spearmanr,0.11424995866810374,0.4548842173684109,NLP,BERT-L,mnli,Normal
35,SoftCorrelationMatch,AbsoluteAccDiff,kendalltau,0.07649517651923377,0.4626832026341877,NLP,BERT-L,mnli,Normal
36,DistanceCorrelation,JSD,pearsonr,0.430236135917383,0.003178909048245263,NLP,BERT-L,mnli,Normal
37,DistanceCorrelation,JSD,spearmanr,0.3923583662714097,0.007680821743313765,NLP,BERT-L,mnli,Normal
38,DistanceCorrelation,JSD,kendalltau,0.2929292929292929,0.004555776789893009,NLP,BERT-L,mnli,Normal
39,DistanceCorrelation,Disagreement,pearsonr,0.14741308072613032,0.3338726900760832,NLP,BERT-L,mnli,Normal
40,DistanceCorrelation,Disagreement,spearmanr,0.11528196121009612,0.4507936182388421,NLP,BERT-L,mnli,Normal
41,DistanceCorrelation,Disagreement,kendalltau,0.07935094378883491,0.4451022253411051,NLP,BERT-L,mnli,Normal
42,DistanceCorrelation,AbsoluteAccDiff,pearsonr,0.20812574156284835,0.17008235510425893,NLP,BERT-L,mnli,Normal
43,DistanceCorrelation,AbsoluteAccDiff,spearmanr,0.15347599756453867,0.3141482072869684,NLP,BERT-L,mnli,Normal
44,DistanceCorrelation,AbsoluteAccDiff,kendalltau,0.09485401888384987,0.3624532876311972,NLP,BERT-L,mnli,Normal
45,EigenspaceOverlapScore,JSD,pearsonr,0.3522753176146996,0.017631363677688337,NLP,BERT-L,mnli,Normal
46,EigenspaceOverlapScore,JSD,spearmanr,0.36310935441370223,0.014222789394330698,NLP,BERT-L,mnli,Normal
47,EigenspaceOverlapScore,JSD,kendalltau,0.2505050505050505,0.015265626660908093,NLP,BERT-L,mnli,Normal
48,EigenspaceOverlapScore,Disagreement,pearsonr,-0.026950795021165597,0.8605015512438193,NLP,BERT-L,mnli,Normal
49,EigenspaceOverlapScore,Disagreement,spearmanr,0.010282439078773582,0.9465519326242101,NLP,BERT-L,mnli,Normal
50,EigenspaceOverlapScore,Disagreement,kendalltau,0.0040692791686582006,0.968763407407847,NLP,BERT-L,mnli,Normal
51,EigenspaceOverlapScore,AbsoluteAccDiff,pearsonr,0.05632696749663825,0.7132371798996004,NLP,BERT-L,mnli,Normal
52,EigenspaceOverlapScore,AbsoluteAccDiff,spearmanr,0.02729341193802363,0.858746027502179,NLP,BERT-L,mnli,Normal
53,EigenspaceOverlapScore,AbsoluteAccDiff,kendalltau,0.015299035303846754,0.8832210941006285,NLP,BERT-L,mnli,Normal
54,IMDScore,JSD,pearsonr,-0.3401693144716127,0.022232802271980996,NLP,BERT-L,mnli,Normal
55,IMDScore,JSD,spearmanr,-0.3857707509881423,0.008866092580386082,NLP,BERT-L,mnli,Normal
56,IMDScore,JSD,kendalltau,-0.27878787878787875,0.006935609840640243,NLP,BERT-L,mnli,Normal
57,IMDScore,Disagreement,pearsonr,-0.11554655122480473,0.4497480952789264,NLP,BERT-L,mnli,Normal
58,IMDScore,Disagreement,spearmanr,-0.06083776454941036,0.6913704974447493,NLP,BERT-L,mnli,Normal
59,IMDScore,Disagreement,kendalltau,-0.040692791686582006,0.6953591905784111,NLP,BERT-L,mnli,Normal
60,IMDScore,AbsoluteAccDiff,pearsonr,-0.2678107630332207,0.07530166526986802,NLP,BERT-L,mnli,Normal
61,IMDScore,AbsoluteAccDiff,spearmanr,-0.2629792758955948,0.08092516370381872,NLP,BERT-L,mnli,Normal
62,IMDScore,AbsoluteAccDiff,kendalltau,-0.18256848795923794,0.0796271858144815,NLP,BERT-L,mnli,Normal
63,Gulp,JSD,pearsonr,0.33945816556211394,0.022531812097838434,NLP,BERT-L,mnli,Normal
64,Gulp,JSD,spearmanr,0.3451910408432147,0.02021465817201751,NLP,BERT-L,mnli,Normal
65,Gulp,JSD,kendalltau,0.24646464646464641,0.016991758317402166,NLP,BERT-L,mnli,Normal
66,Gulp,Disagreement,pearsonr,-0.02128348134748712,0.8896304228577542,NLP,BERT-L,mnli,Normal
67,Gulp,Disagreement,spearmanr,0.021751313435867194,0.8872198717176016,NLP,BERT-L,mnli,Normal
68,Gulp,Disagreement,kendalltau,0.020346395843291003,0.844769571305559,NLP,BERT-L,mnli,Normal
69,Gulp,AbsoluteAccDiff,pearsonr,0.02777834311014018,0.8562624574182802,NLP,BERT-L,mnli,Normal
70,Gulp,AbsoluteAccDiff,spearmanr,-0.009559286789887503,0.9503060047822218,NLP,BERT-L,mnli,Normal
71,Gulp,AbsoluteAccDiff,kendalltau,-0.021418649425385457,0.8370705586973101,NLP,BERT-L,mnli,Normal
72,LinearRegression,JSD,pearsonr,0.10740314813162448,0.31365084169662216,NLP,BERT-L,mnli,Normal
73,LinearRegression,JSD,spearmanr,0.2810744105032621,0.007284259859197882,NLP,BERT-L,mnli,Normal
74,LinearRegression,JSD,kendalltau,0.19636220483319702,0.00640658513207756,NLP,BERT-L,mnli,Normal
75,LinearRegression,Disagreement,pearsonr,-0.07419657934248403,0.48704897427888144,NLP,BERT-L,mnli,Normal
76,LinearRegression,Disagreement,spearmanr,-0.03379066712161869,0.7518691530361644,NLP,BERT-L,mnli,Normal
77,LinearRegression,Disagreement,kendalltau,-0.02225494408382202,0.7588509633272631,NLP,BERT-L,mnli,Normal
78,LinearRegression,AbsoluteAccDiff,pearsonr,0.12624032761126347,0.23576838152879862,NLP,BERT-L,mnli,Normal
79,LinearRegression,AbsoluteAccDiff,spearmanr,0.1785442891232912,0.09223954055573678,NLP,BERT-L,mnli,Normal
80,LinearRegression,AbsoluteAccDiff,kendalltau,0.11967436390899382,0.09956412582002079,NLP,BERT-L,mnli,Normal
81,JaccardSimilarity,JSD,pearsonr,0.15480869995519644,0.30991378502162753,NLP,BERT-L,mnli,Normal
82,JaccardSimilarity,JSD,spearmanr,0.12555994729907774,0.4111682169364942,NLP,BERT-L,mnli,Normal
83,JaccardSimilarity,JSD,kendalltau,0.08282828282828282,0.42246606764155537,NLP,BERT-L,mnli,Normal
84,JaccardSimilarity,Disagreement,pearsonr,0.1574278429971003,0.3016984074117323,NLP,BERT-L,mnli,Normal
85,JaccardSimilarity,Disagreement,spearmanr,0.16755102652719517,0.2712722586461889,NLP,BERT-L,mnli,Normal
86,JaccardSimilarity,Disagreement,kendalltau,0.12004373547541691,0.24800917628784136,NLP,BERT-L,mnli,Normal
87,JaccardSimilarity,AbsoluteAccDiff,pearsonr,-0.15905803019388387,0.2966563377700875,NLP,BERT-L,mnli,Normal
88,JaccardSimilarity,AbsoluteAccDiff,spearmanr,-0.21096357053544837,0.16420238290751474,NLP,BERT-L,mnli,Normal
89,JaccardSimilarity,AbsoluteAccDiff,kendalltau,-0.15197041735154443,0.1445433568606903,NLP,BERT-L,mnli,Normal
