,similarity_measure,functional_similarity_measure,quality_measure,corr,pval,domain,architecture,representation_dataset,identifier
0,PWCCA,JSD,pearsonr,-0.28370188056624734,0.0732,NLP,BERT-L,sst2,Normal
1,PWCCA,JSD,spearmanr,-0.39252274886022537,0.012,NLP,BERT-L,sst2,Normal
2,PWCCA,JSD,kendalltau,-0.28456019332047705,0.0094,NLP,BERT-L,sst2,Normal
3,PWCCA,Disagreement,pearsonr,-0.24398953967326614,0.1196,NLP,BERT-L,sst2,Normal
4,PWCCA,Disagreement,spearmanr,-0.28212843971564855,0.0684,NLP,BERT-L,sst2,Normal
5,PWCCA,Disagreement,kendalltau,-0.18849959951806042,0.0842,NLP,BERT-L,sst2,Normal
6,PWCCA,AbsoluteAccDiff,pearsonr,-0.38238229346377567,0.0132,NLP,BERT-L,sst2,Normal
7,PWCCA,AbsoluteAccDiff,spearmanr,-0.3298035772002621,0.0364,NLP,BERT-L,sst2,Normal
8,PWCCA,AbsoluteAccDiff,kendalltau,-0.2244865688666845,0.0424,NLP,BERT-L,sst2,Normal
9,SVCCA,JSD,pearsonr,0.4281508187590596,0.0036,NLP,BERT-L,sst2,Normal
10,SVCCA,JSD,spearmanr,0.3722002635046113,0.013,NLP,BERT-L,sst2,Normal
11,SVCCA,JSD,kendalltau,0.2666666666666666,0.0104,NLP,BERT-L,sst2,Normal
12,SVCCA,Disagreement,pearsonr,0.4390208023161059,0.0032,NLP,BERT-L,sst2,Normal
13,SVCCA,Disagreement,spearmanr,0.4039055112975197,0.0054,NLP,BERT-L,sst2,Normal
14,SVCCA,Disagreement,kendalltau,0.27461841783696045,0.007,NLP,BERT-L,sst2,Normal
15,SVCCA,AbsoluteAccDiff,pearsonr,-0.10794510704143478,0.4804,NLP,BERT-L,sst2,Normal
16,SVCCA,AbsoluteAccDiff,spearmanr,-0.0819370172937621,0.5872,NLP,BERT-L,sst2,Normal
17,SVCCA,AbsoluteAccDiff,kendalltau,-0.05744269579035527,0.597,NLP,BERT-L,sst2,Normal
18,HardCorrelationMatch,JSD,pearsonr,-0.12484519959206337,0.4164,NLP,BERT-L,sst2,Normal
19,HardCorrelationMatch,JSD,spearmanr,-0.18840579710144925,0.2178,NLP,BERT-L,sst2,Normal
20,HardCorrelationMatch,JSD,kendalltau,-0.14545454545454545,0.1642,NLP,BERT-L,sst2,Normal
21,HardCorrelationMatch,Disagreement,pearsonr,0.24487382680721542,0.1052,NLP,BERT-L,sst2,Normal
22,HardCorrelationMatch,Disagreement,spearmanr,0.21913671542223756,0.1452,NLP,BERT-L,sst2,Normal
23,HardCorrelationMatch,Disagreement,kendalltau,0.15165494716369457,0.1484,NLP,BERT-L,sst2,Normal
24,HardCorrelationMatch,AbsoluteAccDiff,pearsonr,-0.3441440751759672,0.0272,NLP,BERT-L,sst2,Normal
25,HardCorrelationMatch,AbsoluteAccDiff,spearmanr,-0.3298591678492838,0.026,NLP,BERT-L,sst2,Normal
26,HardCorrelationMatch,AbsoluteAccDiff,kendalltau,-0.22361620861245443,0.0318,NLP,BERT-L,sst2,Normal
27,SoftCorrelationMatch,JSD,pearsonr,-0.1392827999664708,0.3474,NLP,BERT-L,sst2,Normal
28,SoftCorrelationMatch,JSD,spearmanr,-0.18326745718050064,0.2402,NLP,BERT-L,sst2,Normal
29,SoftCorrelationMatch,JSD,kendalltau,-0.14545454545454545,0.1608,NLP,BERT-L,sst2,Normal
30,SoftCorrelationMatch,Disagreement,pearsonr,0.26011074815282986,0.081,NLP,BERT-L,sst2,Normal
31,SoftCorrelationMatch,Disagreement,spearmanr,0.24275229161765027,0.1076,NLP,BERT-L,sst2,Normal
32,SoftCorrelationMatch,Disagreement,kendalltau,0.16395129423102117,0.1238,NLP,BERT-L,sst2,Normal
33,SoftCorrelationMatch,AbsoluteAccDiff,pearsonr,-0.36221440045055764,0.0182,NLP,BERT-L,sst2,Normal
34,SoftCorrelationMatch,AbsoluteAccDiff,spearmanr,-0.328407787510747,0.024,NLP,BERT-L,sst2,Normal
35,SoftCorrelationMatch,AbsoluteAccDiff,kendalltau,-0.2113070595145212,0.044,NLP,BERT-L,sst2,Normal
36,DistanceCorrelation,JSD,pearsonr,0.44123976834824497,0.0024,NLP,BERT-L,sst2,Normal
37,DistanceCorrelation,JSD,spearmanr,0.42279314888010533,0.004,NLP,BERT-L,sst2,Normal
38,DistanceCorrelation,JSD,kendalltau,0.2989898989898989,0.002,NLP,BERT-L,sst2,Normal
39,DistanceCorrelation,Disagreement,pearsonr,0.46434348448081153,0.0012,NLP,BERT-L,sst2,Normal
