,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.08777006172839506,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
1,PWCCA,AUPRC,0.6498015873015873,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
2,SVCCA,violation_rate,0.144,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
3,SVCCA,AUPRC,0.6934710541974739,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
4,HardCorrelationMatch,violation_rate,0.09999999999999999,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
5,HardCorrelationMatch,AUPRC,0.7493572853292717,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
6,SoftCorrelationMatch,violation_rate,0.084,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
7,SoftCorrelationMatch,AUPRC,0.7533502037178508,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
8,DistanceCorrelation,violation_rate,0.10533333333333333,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
9,DistanceCorrelation,AUPRC,0.7501186778240893,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
10,EigenspaceOverlapScore,violation_rate,0.122,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
11,EigenspaceOverlapScore,AUPRC,0.6169490375524859,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
12,IMDScore,violation_rate,0.084,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
13,IMDScore,AUPRC,0.7276879075082342,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
14,Gulp,violation_rate,0.106,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
15,Gulp,AUPRC,0.6110455434648983,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
16,LinearRegression,violation_rate,0.148,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
17,LinearRegression,AUPRC,0.569724426380161,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
18,JaccardSimilarity,violation_rate,0.16066666666666665,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
19,JaccardSimilarity,AUPRC,0.6859208898400074,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
20,RankSimilarity,violation_rate,0.18333333333333335,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
21,RankSimilarity,AUPRC,0.6274742257955173,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
22,SecondOrderCosineSimilarity,violation_rate,,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
23,SecondOrderCosineSimilarity,AUPRC,0.3867718288753357,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
24,AlignedCosineSimilarity,violation_rate,0.0,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
25,AlignedCosineSimilarity,AUPRC,0.9999999999999999,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.016666666666666666,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.9001612276612277,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.016666666666666666,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.9001612276612277,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
30,PermutationProcrustes,violation_rate,0.31733333333333336,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
31,PermutationProcrustes,AUPRC,0.4362439285103772,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
32,ProcrustesSizeAndShapeDistance,violation_rate,0.005999999999999999,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
33,ProcrustesSizeAndShapeDistance,AUPRC,0.9842105263157893,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
34,RSA,violation_rate,0.3606666666666667,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
35,RSA,AUPRC,0.4586187837888834,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
36,RSMNormDifference,violation_rate,0.3333333333333333,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
37,RSMNormDifference,AUPRC,0.5238095238095238,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
38,ConcentricityDifference,violation_rate,0.0,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
39,ConcentricityDifference,AUPRC,1.0,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
40,MagnitudeDifference,violation_rate,0.24933333333333332,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
41,MagnitudeDifference,AUPRC,0.3311878020556304,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
42,UniformityDifference,violation_rate,0.08666666666666667,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
43,UniformityDifference,AUPRC,0.7640264854345314,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
44,CKA,violation_rate,0.10266666666666667,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
45,CKA,AUPRC,0.7526916819289021,NLP,BERT-L,mnli_mem_rate0,RandomLabels_75
