,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.5203703703703704,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
1,PWCCA,AUPRC,0.2666786916786917,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
2,SVCCA,violation_rate,0.20466666666666666,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
3,SVCCA,AUPRC,0.6420431429927592,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
4,HardCorrelationMatch,violation_rate,0.23399999999999999,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
5,HardCorrelationMatch,AUPRC,0.4424964939876234,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
6,SoftCorrelationMatch,violation_rate,0.19733333333333336,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
7,SoftCorrelationMatch,AUPRC,0.4806136740648197,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
8,DistanceCorrelation,violation_rate,0.19866666666666666,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
9,DistanceCorrelation,AUPRC,0.588998908942687,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
10,EigenspaceOverlapScore,violation_rate,0.3986666666666667,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
11,EigenspaceOverlapScore,AUPRC,0.36252031510636,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
12,IMDScore,violation_rate,0.20866666666666664,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
13,IMDScore,AUPRC,0.47443438415916206,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
14,Gulp,violation_rate,0.45533333333333337,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
15,Gulp,AUPRC,0.2798318261294964,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
16,LinearRegression,violation_rate,0.4346666666666667,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
17,LinearRegression,AUPRC,0.4043776779958696,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
18,JaccardSimilarity,violation_rate,0.308,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
19,JaccardSimilarity,AUPRC,0.3477279834428198,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
20,RankSimilarity,violation_rate,0.37333333333333335,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
21,RankSimilarity,AUPRC,0.34300263288581023,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
22,SecondOrderCosineSimilarity,violation_rate,0.3626666666666667,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
23,SecondOrderCosineSimilarity,AUPRC,0.36868254028054936,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
24,AlignedCosineSimilarity,violation_rate,0.0013333333333333333,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
25,AlignedCosineSimilarity,AUPRC,0.9944444444444444,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.2493333333333333,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.49499463557666806,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.2493333333333333,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.49499463557666806,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
30,PermutationProcrustes,violation_rate,0.26933333333333337,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
31,PermutationProcrustes,AUPRC,0.4515980877441222,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
32,ProcrustesSizeAndShapeDistance,violation_rate,0.04533333333333334,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
33,ProcrustesSizeAndShapeDistance,AUPRC,0.8560624741997289,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
34,RSA,violation_rate,0.26666666666666666,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
35,RSA,AUPRC,0.4794650579251438,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
36,RSMNormDifference,violation_rate,0.030666666666666665,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
37,RSMNormDifference,AUPRC,0.9086219336219336,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
38,ConcentricityDifference,violation_rate,0.014,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
39,ConcentricityDifference,AUPRC,0.9571794871794871,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
40,MagnitudeDifference,violation_rate,0.30733333333333335,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
41,MagnitudeDifference,AUPRC,0.38196640078963967,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
42,UniformityDifference,violation_rate,0.142,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
43,UniformityDifference,AUPRC,0.596498601558973,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
44,CKA,violation_rate,0.22199999999999998,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
45,CKA,AUPRC,0.5883511149714185,NLP,BERT-L,sst2_mem_rate0,RandomLabels_75
