,similarity_measure,quality_measure,model,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.0,NLP,BERT-L,mnli,Augmentation_0
1,PWCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,,NLP,BERT-L,mnli,Augmentation_0
2,PWCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.0,NLP,BERT-L,mnli,Augmentation_0
3,PWCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,,NLP,BERT-L,mnli,Augmentation_0
4,PWCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.0,NLP,BERT-L,mnli,Augmentation_0
5,PWCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9999999999999999,NLP,BERT-L,mnli,Augmentation_0
6,PWCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.0,NLP,BERT-L,mnli,Augmentation_0
7,PWCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,,NLP,BERT-L,mnli,Augmentation_0
8,PWCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.0,NLP,BERT-L,mnli,Augmentation_0
9,PWCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,,NLP,BERT-L,mnli,Augmentation_0
10,SVCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.08391608391608392,NLP,BERT-L,mnli,Augmentation_0
11,SVCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9048268398268398,NLP,BERT-L,mnli,Augmentation_0
12,SVCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.07167832167832168,NLP,BERT-L,mnli,Augmentation_0
13,SVCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9609523809523809,NLP,BERT-L,mnli,Augmentation_0
14,SVCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.12237762237762238,NLP,BERT-L,mnli,Augmentation_0
15,SVCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.8956846184118912,NLP,BERT-L,mnli,Augmentation_0
16,SVCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.07167832167832168,NLP,BERT-L,mnli,Augmentation_0
17,SVCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9124242424242425,NLP,BERT-L,mnli,Augmentation_0
18,SVCCA,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.10314685314685315,NLP,BERT-L,mnli,Augmentation_0
19,SVCCA,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.8812554112554114,NLP,BERT-L,mnli,Augmentation_0
20,HardCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.005244755244755245,NLP,BERT-L,mnli,Augmentation_0
21,HardCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9987285441830897,NLP,BERT-L,mnli,Augmentation_0
22,HardCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.0017482517482517483,NLP,BERT-L,mnli,Augmentation_0
23,HardCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9996821360457724,NLP,BERT-L,mnli,Augmentation_0
24,HardCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.0,NLP,BERT-L,mnli,Augmentation_0
25,HardCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,1.0,NLP,BERT-L,mnli,Augmentation_0
26,HardCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.0017482517482517483,NLP,BERT-L,mnli,Augmentation_0
27,HardCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9996821360457724,NLP,BERT-L,mnli,Augmentation_0
28,HardCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.0017482517482517483,NLP,BERT-L,mnli,Augmentation_0
29,HardCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9996821360457724,NLP,BERT-L,mnli,Augmentation_0
30,SoftCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.019230769230769232,NLP,BERT-L,mnli,Augmentation_0
31,SoftCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.9904640813731723,NLP,BERT-L,mnli,Augmentation_0
32,SoftCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_1_None,0.013986013986013986,NLP,BERT-L,mnli,Augmentation_0
33,SoftCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_1_None,0.9958677685950413,NLP,BERT-L,mnli,Augmentation_0
34,SoftCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_2_None,0.017482517482517484,NLP,BERT-L,mnli,Augmentation_0
35,SoftCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_2_None,0.9942784488239034,NLP,BERT-L,mnli,Augmentation_0
36,SoftCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_3_None,0.012237762237762238,NLP,BERT-L,mnli,Augmentation_0
37,SoftCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_3_None,0.9968213604577241,NLP,BERT-L,mnli,Augmentation_0
38,SoftCorrelationMatch,violation_rate,NLP_BERT-L_mnli_Augmentation_0_4_None,0.015734265734265736,NLP,BERT-L,mnli,Augmentation_0
39,SoftCorrelationMatch,correlation,NLP_BERT-L_mnli_Augmentation_0_4_None,0.9891434323252504,NLP,BERT-L,mnli,Augmentation_0
40,DistanceCorrelation,violation_rate,NLP_BERT-L_mnli_Augmentation_0_0_None,0.06118881118881119,NLP,BERT-L,mnli,Augmentation_0
41,DistanceCorrelation,correlation,NLP_BERT-L_mnli_Augmentation_0_0_None,0.951048951048951,NLP,BERT-L,mnli,Augmentation_0
