,similarity_measure,quality_measure,model,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_0_None,0.0,NLP,BERT-L,sst2,Augmentation_0
1,PWCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_0_None,,NLP,BERT-L,sst2,Augmentation_0
2,PWCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_1_None,0.0,NLP,BERT-L,sst2,Augmentation_0
3,PWCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_1_None,,NLP,BERT-L,sst2,Augmentation_0
4,PWCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_2_None,0.0,NLP,BERT-L,sst2,Augmentation_0
5,PWCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_2_None,,NLP,BERT-L,sst2,Augmentation_0
6,PWCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_3_None,0.0,NLP,BERT-L,sst2,Augmentation_0
7,PWCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_3_None,,NLP,BERT-L,sst2,Augmentation_0
8,PWCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_4_None,0.0,NLP,BERT-L,sst2,Augmentation_0
9,PWCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_4_None,0.9999999999999999,NLP,BERT-L,sst2,Augmentation_0
10,SVCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_0_None,0.12937062937062938,NLP,BERT-L,sst2,Augmentation_0
11,SVCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_0_None,0.645974025974026,NLP,BERT-L,sst2,Augmentation_0
12,SVCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_1_None,0.1486013986013986,NLP,BERT-L,sst2,Augmentation_0
13,SVCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_1_None,0.37097402597402596,NLP,BERT-L,sst2,Augmentation_0
14,SVCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_2_None,0.1346153846153846,NLP,BERT-L,sst2,Augmentation_0
15,SVCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_2_None,0.7748917748917749,NLP,BERT-L,sst2,Augmentation_0
16,SVCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_3_None,0.13986013986013987,NLP,BERT-L,sst2,Augmentation_0
17,SVCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_3_None,0.7253896103896105,NLP,BERT-L,sst2,Augmentation_0
18,SVCCA,violation_rate,NLP_BERT-L_sst2_Augmentation_0_4_None,0.045454545454545456,NLP,BERT-L,sst2,Augmentation_0
19,SVCCA,correlation,NLP_BERT-L_sst2_Augmentation_0_4_None,0.6664069264069263,NLP,BERT-L,sst2,Augmentation_0
20,HardCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_0_None,0.02097902097902098,NLP,BERT-L,sst2,Augmentation_0
21,HardCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_0_None,0.993249175067357,NLP,BERT-L,sst2,Augmentation_0
22,HardCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_1_None,0.008741258741258742,NLP,BERT-L,sst2,Augmentation_0
23,HardCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_1_None,0.9976425090061454,NLP,BERT-L,sst2,Augmentation_0
24,HardCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_2_None,0.008741258741258742,NLP,BERT-L,sst2,Augmentation_0
25,HardCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_2_None,0.9959404232131507,NLP,BERT-L,sst2,Augmentation_0
26,HardCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_3_None,0.008741258741258742,NLP,BERT-L,sst2,Augmentation_0
27,HardCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_3_None,0.9893939393939394,NLP,BERT-L,sst2,Augmentation_0
28,HardCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_4_None,0.005244755244755245,NLP,BERT-L,sst2,Augmentation_0
29,HardCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_4_None,0.9925392789029153,NLP,BERT-L,sst2,Augmentation_0
30,SoftCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_0_None,0.045454545454545456,NLP,BERT-L,sst2,Augmentation_0
31,SoftCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_0_None,0.9657751339569522,NLP,BERT-L,sst2,Augmentation_0
32,SoftCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_1_None,0.03671328671328671,NLP,BERT-L,sst2,Augmentation_0
33,SoftCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_1_None,0.9701987406532862,NLP,BERT-L,sst2,Augmentation_0
34,SoftCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_2_None,0.043706293706293704,NLP,BERT-L,sst2,Augmentation_0
35,SoftCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_2_None,0.9304301758847214,NLP,BERT-L,sst2,Augmentation_0
36,SoftCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_3_None,0.03496503496503497,NLP,BERT-L,sst2,Augmentation_0
37,SoftCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_3_None,0.9406124178851453,NLP,BERT-L,sst2,Augmentation_0
38,SoftCorrelationMatch,violation_rate,NLP_BERT-L_sst2_Augmentation_0_4_None,0.03496503496503497,NLP,BERT-L,sst2,Augmentation_0
39,SoftCorrelationMatch,correlation,NLP_BERT-L_sst2_Augmentation_0_4_None,0.9427292404565132,NLP,BERT-L,sst2,Augmentation_0
40,DistanceCorrelation,violation_rate,NLP_BERT-L_sst2_Augmentation_0_0_None,0.015734265734265736,NLP,BERT-L,sst2,Augmentation_0
41,DistanceCorrelation,correlation,NLP_BERT-L_sst2_Augmentation_0_0_None,0.9833333333333333,NLP,BERT-L,sst2,Augmentation_0
42,DistanceCorrelation,violation_rate,NLP_BERT-L_sst2_Augmentation_0_1_None,0.057692307692307696,NLP,BERT-L,sst2,Augmentation_0
43,DistanceCorrelation,correlation,NLP_BERT-L_sst2_Augmentation_0_1_None,0.9614491569037024,NLP,BERT-L,sst2,Augmentation_0
44,DistanceCorrelation,violation_rate,NLP_BERT-L_sst2_Augmentation_0_2_None,0.017482517482517484,NLP,BERT-L,sst2,Augmentation_0
45,DistanceCorrelation,correlation,NLP_BERT-L_sst2_Augmentation_0_2_None,0.9902597402597404,NLP,BERT-L,sst2,Augmentation_0
