,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.1417887667887668,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
1,PWCCA,AUPRC,0.5578102453102453,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
2,SVCCA,violation_rate,0.22399999999999998,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
3,SVCCA,AUPRC,0.4206247250910328,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
4,HardCorrelationMatch,violation_rate,0.18266666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
5,HardCorrelationMatch,AUPRC,0.550509419187149,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
6,SoftCorrelationMatch,violation_rate,0.18400000000000002,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
7,SoftCorrelationMatch,AUPRC,0.5511769081782559,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
8,DistanceCorrelation,violation_rate,0.124,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
9,DistanceCorrelation,AUPRC,0.5844315262505799,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
10,EigenspaceOverlapScore,violation_rate,0.14933333333333332,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
11,EigenspaceOverlapScore,AUPRC,0.5680157097529299,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
12,IMDScore,violation_rate,0.18266666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
13,IMDScore,AUPRC,0.5253207016119997,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
14,Gulp,violation_rate,0.15933333333333333,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
15,Gulp,AUPRC,0.563494190994191,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
16,LinearRegression,violation_rate,0.154,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
17,LinearRegression,AUPRC,0.4561265297770884,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
18,JaccardSimilarity,violation_rate,0.18666666666666665,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
19,JaccardSimilarity,AUPRC,0.5638474241669377,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
20,RankSimilarity,violation_rate,0.18266666666666664,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
21,RankSimilarity,AUPRC,0.5763322127987851,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
22,SecondOrderCosineSimilarity,violation_rate,0.18133333333333335,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
23,SecondOrderCosineSimilarity,AUPRC,0.5886503237002293,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
24,AlignedCosineSimilarity,violation_rate,0.11133333333333333,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
25,AlignedCosineSimilarity,AUPRC,0.583680080457574,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.10266666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.6001574378780261,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.10266666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.6001574378780261,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
30,PermutationProcrustes,violation_rate,0.17866666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
31,PermutationProcrustes,AUPRC,0.519845302539833,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
32,ProcrustesSizeAndShapeDistance,violation_rate,0.134,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
33,ProcrustesSizeAndShapeDistance,AUPRC,0.5354158998157068,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
34,RSA,violation_rate,0.12666666666666668,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
35,RSA,AUPRC,0.5780404456452225,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
36,RSMNormDifference,violation_rate,0.3446666666666667,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
37,RSMNormDifference,AUPRC,0.28285157688176127,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
38,ConcentricityDifference,violation_rate,0.25066666666666665,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
39,ConcentricityDifference,AUPRC,0.376623999966139,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
40,MagnitudeDifference,violation_rate,0.18800000000000003,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
41,MagnitudeDifference,AUPRC,0.48173493102898274,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
42,UniformityDifference,violation_rate,0.314,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
43,UniformityDifference,AUPRC,0.4043310275029705,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
44,CKA,violation_rate,0.12,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
45,CKA,AUPRC,0.5855126219096807,NLP,BERT-L,mnli_sc_rate0354,Shortcut_0354
