,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.30546296296296294,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
1,PWCCA,AUPRC,0.35345229755671376,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
2,SVCCA,violation_rate,0.38400000000000006,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
3,SVCCA,AUPRC,0.2513516581504484,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
4,HardCorrelationMatch,violation_rate,0.36133333333333334,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
5,HardCorrelationMatch,AUPRC,0.2335999142121382,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
6,SoftCorrelationMatch,violation_rate,0.452,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
7,SoftCorrelationMatch,AUPRC,0.2202551371177892,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
8,DistanceCorrelation,violation_rate,0.324,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
9,DistanceCorrelation,AUPRC,0.26386377445438747,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
10,EigenspaceOverlapScore,violation_rate,0.41333333333333333,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
11,EigenspaceOverlapScore,AUPRC,0.24584354823987534,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
12,IMDScore,violation_rate,0.27999999999999997,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
13,IMDScore,AUPRC,0.335445766482664,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
14,Gulp,violation_rate,0.3526666666666667,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
15,Gulp,AUPRC,0.2486498019794293,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
16,LinearRegression,violation_rate,0.26266666666666666,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
17,LinearRegression,AUPRC,0.36871133555433006,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
18,JaccardSimilarity,violation_rate,0.1446666666666667,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
19,JaccardSimilarity,AUPRC,0.5549671399762685,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
20,RankSimilarity,violation_rate,0.138,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
21,RankSimilarity,AUPRC,0.5542976200213042,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
22,SecondOrderCosineSimilarity,violation_rate,0.16133333333333333,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
23,SecondOrderCosineSimilarity,AUPRC,0.5533777848560457,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
24,AlignedCosineSimilarity,violation_rate,0.20666666666666667,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
25,AlignedCosineSimilarity,AUPRC,0.45128627581568753,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.2333333333333333,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.30806594277339155,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.2333333333333333,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.30806594277339155,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
30,PermutationProcrustes,violation_rate,0.222,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
31,PermutationProcrustes,AUPRC,0.4572323325809046,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
32,ProcrustesSizeAndShapeDistance,violation_rate,0.22933333333333336,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
33,ProcrustesSizeAndShapeDistance,AUPRC,0.4325814156794549,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
34,RSA,violation_rate,0.31866666666666665,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
35,RSA,AUPRC,0.3594597255706325,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
36,RSMNormDifference,violation_rate,0.314,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
37,RSMNormDifference,AUPRC,0.343895866853638,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
38,ConcentricityDifference,violation_rate,0.3333333333333333,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
39,ConcentricityDifference,AUPRC,0.25549687044892067,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
40,MagnitudeDifference,violation_rate,0.26866666666666666,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
41,MagnitudeDifference,AUPRC,0.3459496397323237,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
42,UniformityDifference,violation_rate,0.45399999999999996,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
43,UniformityDifference,AUPRC,0.3457216001859284,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
44,CKA,violation_rate,0.33466666666666667,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
45,CKA,AUPRC,0.26300717937189816,NLP,BERT-L,sst2_sc_rate0558,Shortcut_0558
