,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.011333333333333334,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
1,PWCCA,AUPRC,0.9584188034188034,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
2,SVCCA,violation_rate,0.084,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
3,SVCCA,AUPRC,0.778621676806992,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
4,HardCorrelationMatch,violation_rate,0.16,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
5,HardCorrelationMatch,AUPRC,0.58703929649126,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
6,SoftCorrelationMatch,violation_rate,0.18933333333333335,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
7,SoftCorrelationMatch,AUPRC,0.5328139580005306,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
8,DistanceCorrelation,violation_rate,0.0013333333333333333,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
9,DistanceCorrelation,AUPRC,0.9944444444444444,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
10,EigenspaceOverlapScore,violation_rate,0.004666666666666667,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
11,EigenspaceOverlapScore,AUPRC,0.9833333333333333,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
12,IMDScore,violation_rate,0.056666666666666664,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
13,IMDScore,AUPRC,0.7815677677442383,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
14,Gulp,violation_rate,0.004,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
15,Gulp,AUPRC,0.9849206349206349,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
16,LinearRegression,violation_rate,0.0,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
17,LinearRegression,AUPRC,0.9999999999999999,VISION,VGG11,Gauss_Off_ImageNet100DataModule,GaussNoise
