,similarity_measure,functional_similarity_measure,quality_measure,corr,pval,domain,architecture,representation_dataset,identifier
0,PWCCA,JSD,pearsonr,-0.10454253781344476,0.32678790318599915,VISION,VGG11,ImageNet100,Normal
1,PWCCA,JSD,spearmanr,-0.12925800365850076,0.22466784518370375,VISION,VGG11,ImageNet100,Normal
2,PWCCA,JSD,kendalltau,-0.09240574345091626,0.1995189649810435,VISION,VGG11,ImageNet100,Normal
3,PWCCA,Disagreement,pearsonr,-0.09271965950472263,0.384740663324552,VISION,VGG11,ImageNet100,Normal
4,PWCCA,Disagreement,spearmanr,-0.1162667368765662,0.27514494885024365,VISION,VGG11,ImageNet100,Normal
5,PWCCA,Disagreement,kendalltau,-0.07878290527660357,0.27648411954234486,VISION,VGG11,ImageNet100,Normal
6,PWCCA,AbsoluteAccDiff,pearsonr,-0.18281184761883654,0.08459445862964232,VISION,VGG11,ImageNet100,Normal
7,PWCCA,AbsoluteAccDiff,spearmanr,-0.18441417408780236,0.08185757553850756,VISION,VGG11,ImageNet100,Normal
8,PWCCA,AbsoluteAccDiff,kendalltau,-0.1208754261444317,0.09665483104428961,VISION,VGG11,ImageNet100,Normal
9,SVCCA,JSD,pearsonr,-0.10144999998711635,0.507259680514099,VISION,VGG11,ImageNet100,Normal
10,SVCCA,JSD,spearmanr,-0.1129117259552042,0.4602185324364174,VISION,VGG11,ImageNet100,Normal
11,SVCCA,JSD,kendalltau,-0.07272727272727272,0.48122914142131556,VISION,VGG11,ImageNet100,Normal
12,SVCCA,Disagreement,pearsonr,0.03199256679545813,0.8347396366468695,VISION,VGG11,ImageNet100,Normal
13,SVCCA,Disagreement,spearmanr,0.03413846821950094,0.8238248117210005,VISION,VGG11,ImageNet100,Normal
14,SVCCA,Disagreement,kendalltau,0.013204878486366487,0.8987462778851725,VISION,VGG11,ImageNet100,Normal
15,SVCCA,AbsoluteAccDiff,pearsonr,0.0160280931341375,0.916771994614138,VISION,VGG11,ImageNet100,Normal
16,SVCCA,AbsoluteAccDiff,spearmanr,-0.03824471762268168,0.8030319691169711,VISION,VGG11,ImageNet100,Normal
17,SVCCA,AbsoluteAccDiff,kendalltau,-0.028602418407531482,0.7838885842671638,VISION,VGG11,ImageNet100,Normal
18,HardCorrelationMatch,JSD,pearsonr,-0.18458068776624248,0.22481480942038173,VISION,VGG11,ImageNet100,Normal
19,HardCorrelationMatch,JSD,spearmanr,-0.216600790513834,0.1529627897576135,VISION,VGG11,ImageNet100,Normal
20,HardCorrelationMatch,JSD,kendalltau,-0.14545454545454545,0.15893748954289688,VISION,VGG11,ImageNet100,Normal
21,HardCorrelationMatch,Disagreement,pearsonr,-0.17588591866199418,0.24779837077616276,VISION,VGG11,ImageNet100,Normal
22,HardCorrelationMatch,Disagreement,spearmanr,-0.14683495597113533,0.3357928807370284,VISION,VGG11,ImageNet100,Normal
23,HardCorrelationMatch,Disagreement,kendalltau,-0.09243414940456542,0.37308107896278997,VISION,VGG11,ImageNet100,Normal
24,HardCorrelationMatch,AbsoluteAccDiff,pearsonr,0.08171751180588986,0.5935866102744465,VISION,VGG11,ImageNet100,Normal
25,HardCorrelationMatch,AbsoluteAccDiff,spearmanr,-0.014836312870867894,0.9229411279514026,VISION,VGG11,ImageNet100,Normal
26,HardCorrelationMatch,AbsoluteAccDiff,kendalltau,-0.024516358635026984,0.8141498988515524,VISION,VGG11,ImageNet100,Normal
27,SoftCorrelationMatch,JSD,pearsonr,-0.027289882152538993,0.8587641102366991,VISION,VGG11,ImageNet100,Normal
