,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,,VISION,VGG11,ImageNet100,Normal
1,PWCCA,AUPRC,,VISION,VGG11,ImageNet100,Normal
2,SVCCA,violation_rate,0.10533333333333333,VISION,VGG11,ImageNet100,Normal
3,SVCCA,AUPRC,0.8965686638913667,VISION,VGG11,ImageNet100,Normal
4,HardCorrelationMatch,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
5,HardCorrelationMatch,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
6,SoftCorrelationMatch,violation_rate,0.04066666666666666,VISION,VGG11,ImageNet100,Normal
7,SoftCorrelationMatch,AUPRC,0.8460211002951473,VISION,VGG11,ImageNet100,Normal
8,DistanceCorrelation,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
9,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
10,EigenspaceOverlapScore,violation_rate,0.24533333333333332,VISION,VGG11,ImageNet100,Normal
11,EigenspaceOverlapScore,AUPRC,0.5532284077698862,VISION,VGG11,ImageNet100,Normal
12,IMDScore,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
13,IMDScore,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
14,Gulp,violation_rate,0.050666666666666665,VISION,VGG11,ImageNet100,Normal
15,Gulp,AUPRC,0.8508616870458975,VISION,VGG11,ImageNet100,Normal
16,LinearRegression,violation_rate,,VISION,VGG11,ImageNet100,Normal
17,LinearRegression,AUPRC,,VISION,VGG11,ImageNet100,Normal
18,JaccardSimilarity,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
19,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
20,RankSimilarity,violation_rate,0.006666666666666667,VISION,VGG11,ImageNet100,Normal
21,RankSimilarity,AUPRC,0.9833333333333333,VISION,VGG11,ImageNet100,Normal
22,SecondOrderCosineSimilarity,violation_rate,0.3333333333333333,VISION,VGG11,ImageNet100,Normal
23,SecondOrderCosineSimilarity,AUPRC,0.6988915422961454,VISION,VGG11,ImageNet100,Normal
24,AlignedCosineSimilarity,violation_rate,0.16666666666666666,VISION,VGG11,ImageNet100,Normal
25,AlignedCosineSimilarity,AUPRC,0.7243139656138712,VISION,VGG11,ImageNet100,Normal
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
30,PermutationProcrustes,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
31,PermutationProcrustes,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
32,ProcrustesSizeAndShapeDistance,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
33,ProcrustesSizeAndShapeDistance,AUPRC,0.9999999999999999,VISION,VGG11,ImageNet100,Normal
34,RSA,violation_rate,0.0,VISION,VGG11,ImageNet100,Normal
