,similarity_measure,quality_measure,model,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_0,0.25,VISION,VGG11,ImageNet100,Normal
1,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_0,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
2,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_1,0.25,VISION,VGG11,ImageNet100,Normal
3,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_1,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
4,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_2,0.25,VISION,VGG11,ImageNet100,Normal
5,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_2,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
6,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_3,0.25,VISION,VGG11,ImageNet100,Normal
7,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_3,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
8,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_4,0.25,VISION,VGG11,ImageNet100,Normal
9,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_4,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
10,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_5,0.25,VISION,VGG11,ImageNet100,Normal
11,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_5,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
12,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_6,0.25,VISION,VGG11,ImageNet100,Normal
13,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_6,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
14,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_7,0.25,VISION,VGG11,ImageNet100,Normal
15,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_7,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
16,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_8,0.25,VISION,VGG11,ImageNet100,Normal
17,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_8,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
18,PWCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_9,0.25,VISION,VGG11,ImageNet100,Normal
19,PWCCA,correlation,VISION_VGG11_ImageNet100_Normal_9,0.31666666666666665,VISION,VGG11,ImageNet100,Normal
20,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_0,0.3,VISION,VGG11,ImageNet100,Normal
21,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_0,0.2666666666666666,VISION,VGG11,ImageNet100,Normal
22,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_1,0.2,VISION,VGG11,ImageNet100,Normal
23,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_1,0.3833333333333333,VISION,VGG11,ImageNet100,Normal
24,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_2,0.3,VISION,VGG11,ImageNet100,Normal
25,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_2,0.2666666666666666,VISION,VGG11,ImageNet100,Normal
26,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_3,0.3,VISION,VGG11,ImageNet100,Normal
27,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_3,0.21666666666666665,VISION,VGG11,ImageNet100,Normal
28,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_4,0.1,VISION,VGG11,ImageNet100,Normal
29,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_4,0.8833333333333333,VISION,VGG11,ImageNet100,Normal
30,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_5,0.3,VISION,VGG11,ImageNet100,Normal
31,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_5,0.2666666666666666,VISION,VGG11,ImageNet100,Normal
32,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_6,0.15,VISION,VGG11,ImageNet100,Normal
33,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_6,0.7166666666666667,VISION,VGG11,ImageNet100,Normal
34,SVCCA,violation_rate,VISION_VGG11_ImageNet100_Normal_7,0.2,VISION,VGG11,ImageNet100,Normal
35,SVCCA,correlation,VISION_VGG11_ImageNet100_Normal_7,0.7833333333333333,VISION,VGG11,ImageNet100,Normal
