,similarity_measure,quality_measure,value,domain,architecture,representation_dataset,identifier
0,PWCCA,violation_rate,0.0026666666666666666,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
1,PWCCA,AUPRC,0.9904761904761904,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
2,SVCCA,violation_rate,0.08733333333333333,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
3,SVCCA,AUPRC,0.6831138255835388,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
4,HardCorrelationMatch,violation_rate,0.027333333333333334,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
5,HardCorrelationMatch,AUPRC,0.9246907096171801,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
6,SoftCorrelationMatch,violation_rate,0.03133333333333333,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
7,SoftCorrelationMatch,AUPRC,0.8976125789918893,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
8,DistanceCorrelation,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
9,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
10,EigenspaceOverlapScore,violation_rate,0.019333333333333334,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
11,EigenspaceOverlapScore,AUPRC,0.9499603174603174,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
12,IMDScore,violation_rate,0.074,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
13,IMDScore,AUPRC,0.7781946920182213,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
14,Gulp,violation_rate,0.017333333333333333,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
15,Gulp,AUPRC,0.955812937062937,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
16,LinearRegression,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
17,LinearRegression,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
18,JaccardSimilarity,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
19,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
20,RankSimilarity,violation_rate,0.0006666666666666666,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
21,RankSimilarity,AUPRC,0.996969696969697,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
22,SecondOrderCosineSimilarity,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
23,SecondOrderCosineSimilarity,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
24,AlignedCosineSimilarity,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
25,AlignedCosineSimilarity,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
26,OrthogonalAngularShapeMetricCentered,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
27,OrthogonalAngularShapeMetricCentered,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
28,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
29,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
30,PermutationProcrustes,violation_rate,0.13,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
31,PermutationProcrustes,AUPRC,0.6582524790083296,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
32,ProcrustesSizeAndShapeDistance,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
33,ProcrustesSizeAndShapeDistance,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
34,RSA,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
35,RSA,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
36,RSMNormDifference,violation_rate,0.02666666666666666,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
37,RSMNormDifference,AUPRC,0.8723755846549964,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
38,ConcentricityDifference,violation_rate,0.05266666666666667,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
39,ConcentricityDifference,AUPRC,0.7836607853790515,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
40,MagnitudeDifference,violation_rate,0.14666666666666664,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
41,MagnitudeDifference,AUPRC,0.5264370032904515,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
42,UniformityDifference,violation_rate,0.16866666666666666,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
43,UniformityDifference,AUPRC,0.5962799539468131,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
44,CKA,violation_rate,0.0,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
45,CKA,AUPRC,0.9999999999999999,VISION,VGG11,ColorDot_0_ImageNet100DataModule,Shortcut
46,PWCCA,violation_rate,0.09599999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
47,PWCCA,AUPRC,0.7526612176541844,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
48,SVCCA,violation_rate,0.37933333333333336,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
49,SVCCA,AUPRC,0.2871158599287457,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
50,HardCorrelationMatch,violation_rate,0.017333333333333333,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
51,HardCorrelationMatch,AUPRC,0.909091834091834,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
52,SoftCorrelationMatch,violation_rate,0.042,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
53,SoftCorrelationMatch,AUPRC,0.8350737143477615,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
54,DistanceCorrelation,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
55,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
56,EigenspaceOverlapScore,violation_rate,0.042,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
57,EigenspaceOverlapScore,AUPRC,0.8783678912177897,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
58,IMDScore,violation_rate,0.23466666666666666,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
59,IMDScore,AUPRC,0.6474991174107517,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
60,Gulp,violation_rate,0.04,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
61,Gulp,AUPRC,0.8827454030921046,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
62,LinearRegression,violation_rate,0.008666666666666668,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
63,LinearRegression,AUPRC,0.9787878787878787,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
64,JaccardSimilarity,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
65,JaccardSimilarity,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
66,RankSimilarity,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
67,RankSimilarity,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
68,SecondOrderCosineSimilarity,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
69,SecondOrderCosineSimilarity,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
70,AlignedCosineSimilarity,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
71,AlignedCosineSimilarity,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
72,OrthogonalAngularShapeMetricCentered,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
73,OrthogonalAngularShapeMetricCentered,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
74,OrthogonalProcrustesCenteredAndNormalized,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
75,OrthogonalProcrustesCenteredAndNormalized,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
76,PermutationProcrustes,violation_rate,0.068,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
77,PermutationProcrustes,AUPRC,0.8165395462262469,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
78,ProcrustesSizeAndShapeDistance,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
79,ProcrustesSizeAndShapeDistance,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
80,RSA,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
81,RSA,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
82,RSMNormDifference,violation_rate,0.19733333333333336,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
83,RSMNormDifference,AUPRC,0.5861260020315747,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
84,ConcentricityDifference,violation_rate,0.334,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
85,ConcentricityDifference,AUPRC,0.2666959300920623,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
86,MagnitudeDifference,violation_rate,0.49,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
87,MagnitudeDifference,AUPRC,0.22703176207421435,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
88,UniformityDifference,violation_rate,0.16666666666666666,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
89,UniformityDifference,AUPRC,0.5457704695226816,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
90,CKA,violation_rate,0.0,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
91,CKA,AUPRC,0.9999999999999999,VISION,VGG19,ColorDot_0_ImageNet100DataModule,Shortcut
92,PWCCA,violation_rate,0.0013333333333333333,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
93,PWCCA,AUPRC,0.9944444444444444,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
94,SVCCA,violation_rate,0.19066666666666665,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
95,SVCCA,AUPRC,0.5537475416537201,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
96,HardCorrelationMatch,violation_rate,0.01,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
97,HardCorrelationMatch,AUPRC,0.9705026455026454,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
98,SoftCorrelationMatch,violation_rate,0.008666666666666666,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
99,SoftCorrelationMatch,AUPRC,0.9739541160593791,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
100,DistanceCorrelation,violation_rate,0.0,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
101,DistanceCorrelation,AUPRC,0.9999999999999999,VISION,ResNet18,ColorDot_0_ImageNet100DataModule,Shortcut
