,Function,N_instances,N_features,Time,N_Jobs,Device
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",4000,1000,1.371872641146183,4,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",4000,1000,0.8208359442651272,4,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",8000,1000,12.052987260743976,4,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",8000,1000,1.3993726316839457,4,CPU
4,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",12000,1000,97.2020776476711,4,CPU
5,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",12000,1000,2.9496602341532707,4,CPU
6,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",16000,1000,220.51297874748707,4,CPU
7,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",16000,1000,2.9618779625743628,4,CPU
8,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7feaedcf2c20>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",20000,1000,373.7422247491777,4,CPU
9,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7feaedcf2950>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",20000,1000,5.206700818613172,4,CPU
