,Function,N_instances,N_features,Time,N_Jobs,Device
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,1467.1272335797548,4,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,20.56983639113605,4,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,2324.483002120629,4,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,25.21393528394401,4,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,1298.6105400640517,8,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,20.738978600129485,8,CPU
2,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",40000,1000,1953.6622332390398,8,CPU
3,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",40000,1000,27.880988324061036,8,CPU
0,"DistanceCorrelation(sim_func=<function distance_correlation at 0x7fee90e3acb0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=True, invariant_to_permutation=True, invariant_to_isotropic_scaling=False, invariant_to_translation=True)",30000,1000,1082.2937669195235,16,CPU
1,"HardCorrelationMatch(sim_func=<function hard_correlation_match at 0x7fee90e3a9e0>, larger_is_more_similar=True, is_metric=False, is_symmetric=True, invariant_to_affine=False, invariant_to_invertible_linear=False, invariant_to_ortho=False, invariant_to_permutation=True, invariant_to_isotropic_scaling=True, invariant_to_translation=True)",30000,1000,33.47267617844045,16,CPU
