,Function,N_instances,N_features,Time,Device
0,magnitude_difference,100,100,0.00026574917137622833,CPU
1,concentricity_difference,100,100,0.00015993788838386536,CPU
2,uniformity_difference,100,100,0.0007535535842180252,CPU
3,rsm_norm_diff,100,100,0.00039568543434143066,CPU
4,eigenspace_overlap_score,100,100,0.010299388319253922,CPU
5,aligned_cossim,100,100,0.007040178403258324,CPU
6,procrustes_size_and_shape_distance,100,100,0.004578309133648872,CPU
7,orthogonal_procrustes_centered_and_normalized,100,100,0.004623135551810265,CPU
8,permutation_procrustes,100,100,0.0016176551580429077,CPU
9,representational_similarity_analysis,100,100,0.0030469000339508057,CPU
10,centered_kernel_alignment,100,100,0.007006008177995682,CPU
11,hard_correlation_match,100,100,0.0013168379664421082,CPU
12,soft_correlation_match,100,100,0.0007410310208797455,CPU
13,distance_correlation,100,100,0.0007797647267580032,CPU
14,orthogonal_angular_shape_metric_centered,100,100,0.006443191319704056,CPU
15,jaccard_similarity,100,100,0.03912411071360111,CPU
16,second_order_cosine_similarity,100,100,0.04680375196039677,CPU
17,rank_similarity,100,100,0.0355063509196043,CPU
18,geometry_score,100,100,13.819444315508008,CPU
19,imd_score,100,100,6.897645387798548,CPU
20,gulp,100,100,0.008008278906345367,CPU
21,svcca,100,100,0.0067334603518247604,CPU
22,magnitude_difference,100,325,7.908046245574951e-05,CPU
23,concentricity_difference,100,325,0.00022695772349834442,CPU
24,uniformity_difference,100,325,0.0014424454420804977,CPU
25,rsm_norm_diff,100,325,0.0010996200144290924,CPU
26,eigenspace_overlap_score,100,325,0.0501270517706871,CPU
27,aligned_cossim,100,325,0.04165756516158581,CPU
28,procrustes_size_and_shape_distance,100,325,0.03996560163795948,CPU
29,orthogonal_procrustes_centered_and_normalized,100,325,0.03854338452219963,CPU
30,permutation_procrustes,100,325,0.018377266824245453,CPU
31,representational_similarity_analysis,100,325,0.003755105659365654,CPU
32,centered_kernel_alignment,100,325,0.11053991690278053,CPU
33,hard_correlation_match,100,325,0.00967247225344181,CPU
34,soft_correlation_match,100,325,0.004692798480391502,CPU
35,distance_correlation,100,325,0.002076791599392891,CPU
36,orthogonal_angular_shape_metric_centered,100,325,0.05373675934970379,CPU
