,Function,N_instances,N_features,Time,Device
0,magnitude_difference,5000,1000,0.037043241783976555,CPU
1,concentricity_difference,5000,1000,0.09076617285609245,CPU
2,uniformity_difference,5000,1000,33.21658901683986,CPU
3,rsm_norm_diff,5000,1000,30.769635993987322,CPU
4,eigenspace_overlap_score,5000,1000,6.460559409111738,CPU
5,aligned_cossim,5000,1000,0.9528752341866493,CPU
6,procrustes_size_and_shape_distance,5000,1000,0.7474796269088984,CPU
7,orthogonal_procrustes_centered_and_normalized,5000,1000,0.8549906592816114,CPU
8,permutation_procrustes,5000,1000,0.6568265277892351,CPU
9,representational_similarity_analysis,5000,1000,50.85324263945222,CPU
10,centered_kernel_alignment,5000,1000,0.18781249597668648,CPU
11,hard_correlation_match,5000,1000,8.101353619247675,CPU
12,soft_correlation_match,5000,1000,7.4676062278449535,CPU
13,distance_correlation,5000,1000,31.45774033293128,CPU
14,orthogonal_angular_shape_metric_centered,5000,1000,0.9747505411505699,CPU
15,jaccard_similarity,5000,1000,4.758149100467563,CPU
16,second_order_cosine_similarity,5000,1000,37.87074686028063,CPU
17,rank_similarity,5000,1000,3.828387700021267,CPU
18,gulp,5000,1000,0.9890563357621431,CPU
19,svcca,5000,1000,5.061652230098844,CPU
