,function,n,d,time,job
0,pdist,20000,1000,90.0097046867013,scipy
1,pairwise_distances,20000,1000,2.993351135402918,1
2,pairwise_distances,20000,1000,32.518816348165274,2
3,pairwise_distances,20000,1000,9.968339400365949,8
4,pdist,30000,1000,263.7655529361218,scipy
5,pairwise_distances,30000,1000,53.43833894468844,1
6,pairwise_distances,30000,1000,114.79062592051923,2
7,pairwise_distances,30000,1000,60.1609419118613,8
8,pdist,40000,1000,536.9853816144168,scipy
9,pairwise_distances,40000,1000,127.19706712663174,1
10,pairwise_distances,40000,1000,259.46343242004514,2
11,pairwise_distances,40000,1000,159.5048747267574,8
12,pdist,20000,1000,95.39996507577598,scipy
13,pairwise_distances,20000,1000,5.909579938277602,1
14,pairwise_distances,20000,1000,35.31531136855483,2
15,pairwise_distances,20000,1000,11.974170623347163,8
16,pdist,30000,1000,228.87082754820585,scipy
17,pairwise_distances,30000,1000,45.49305114336312,1
18,pairwise_distances,30000,1000,108.00229677930474,2
19,pairwise_distances,30000,1000,96.92701888084412,8
20,pdist,40000,1000,595.2007987368852,scipy
21,pairwise_distances,40000,1000,184.4822673201561,1
22,pairwise_distances,40000,1000,263.3817288465798,2
23,pairwise_distances,40000,1000,151.56500250473619,8
24,pdist,20000,1000,92.94421280547976,scipy
25,pairwise_distances,20000,1000,2.7757054455578327,1
26,pairwise_distances,20000,1000,26.29303816705942,2
27,pairwise_distances,20000,1000,4.3049500565975904,8
28,pdist,30000,1000,208.67513797432184,scipy
29,pairwise_distances,30000,1000,37.40062770061195,1
30,pairwise_distances,30000,1000,100.30630617588758,2
31,pairwise_distances,30000,1000,54.17549633421004,8
32,pdist,40000,1000,513.8548939544708,scipy
33,pairwise_distances,40000,1000,104.38093940541148,1
34,pairwise_distances,40000,1000,212.49970198236406,2
35,pairwise_distances,40000,1000,130.6830838304013,8
36,pdist,20000,1000,89.41964450478554,scipy
37,pairwise_distances,20000,1000,5.373456936329603,1
38,pairwise_distances,20000,1000,23.85131774842739,2
39,pairwise_distances,20000,1000,7.577802956104279,8
40,pdist,30000,1000,269.96949469298124,scipy
41,pairwise_distances,30000,1000,35.874534824863076,1
42,pairwise_distances,30000,1000,97.27916825003922,2
43,pairwise_distances,30000,1000,58.00586033798754,8
44,pdist,40000,1000,561.7134794723243,scipy
45,pairwise_distances,40000,1000,119.23903200216591,1
46,pairwise_distances,40000,1000,231.148097012192,2
47,pairwise_distances,40000,1000,153.28601975925267,8
