,Function,N_instances,N_features,Time,Device
0,hard_correlation_match,1000,1000,14.626598784700036,CPU
1,soft_correlation_match,1000,1000,4.745712719857693,CPU
2,distance_correlation,1000,1000,0.7938072755932808,CPU
3,hard_correlation_match,1000,1000,10.018362978473306,CPU
4,soft_correlation_match,1000,1000,17.21341322362423,CPU
5,distance_correlation,1000,1000,0.5485580936074257,CPU
6,hard_correlation_match,5000,1000,100.71376498788595,CPU
7,soft_correlation_match,5000,1000,71.1184794511646,CPU
8,distance_correlation,5000,1000,3.7878919523209333,CPU
9,hard_correlation_match,5000,1000,69.5256407354027,CPU
10,soft_correlation_match,5000,1000,67.2119272351265,CPU
11,distance_correlation,5000,1000,3.3497929088771343,CPU
