,Function,N_instances,N_features,Time,Device
0,hard_correlation_match,1000,1000,0.18590806983411312,CPU
1,soft_correlation_match,1000,1000,0.12464078702032566,CPU
2,distance_correlation,1000,1000,0.15900479815900326,CPU
3,hard_correlation_match,1000,1000,0.35026463866233826,CPU
4,soft_correlation_match,1000,1000,0.2275332361459732,CPU
5,distance_correlation,1000,1000,0.13793509267270565,CPU
6,hard_correlation_match,5000,1000,0.967908350750804,CPU
7,soft_correlation_match,5000,1000,0.9675624649971724,CPU
8,distance_correlation,5000,1000,2.775279078632593,CPU
9,hard_correlation_match,5000,1000,0.4428843706846237,CPU
10,soft_correlation_match,5000,1000,0.3890171218663454,CPU
11,distance_correlation,5000,1000,1.1185790598392487,CPU
