,model,dataset,acc
0,sst2_pre7_ft7_eda_strength075,sst2_eda_strength075,0.8153669724770642
1,sst2_pre7_ft7_eda_strength075,sst2_eda_strength10,0.7672018348623854
2,sst2_pre7_ft7_eda_strength075,sst2_eda_strength05,0.8371559633027523
3,sst2_pre7_ft7_eda_strength075,sst2_eda_strength025,0.8577981651376146
4,sst2_pre1_ft1_eda_strength05,sst2_eda_strength075,0.7912844036697247
5,sst2_pre1_ft1_eda_strength05,sst2_eda_strength10,0.7477064220183486
6,sst2_pre1_ft1_eda_strength05,sst2_eda_strength05,0.8279816513761468
7,sst2_pre1_ft1_eda_strength05,sst2_eda_strength025,0.856651376146789
8,sst2_pre3_ft3_eda_strength075,sst2_eda_strength075,0.8096330275229358
9,sst2_pre3_ft3_eda_strength075,sst2_eda_strength10,0.7694954128440367
10,sst2_pre3_ft3_eda_strength075,sst2_eda_strength05,0.8302752293577982
11,sst2_pre3_ft3_eda_strength075,sst2_eda_strength025,0.8830275229357798
12,sst2_pre2_ft2_eda_strength10,sst2_eda_strength075,0.7901376146788991
13,sst2_pre2_ft2_eda_strength10,sst2_eda_strength10,0.7740825688073395
14,sst2_pre2_ft2_eda_strength10,sst2_eda_strength05,0.838302752293578
15,sst2_pre2_ft2_eda_strength10,sst2_eda_strength025,0.8577981651376146
16,sst2_pre2_ft2_eda_strength05,sst2_eda_strength075,0.7878440366972477
17,sst2_pre2_ft2_eda_strength05,sst2_eda_strength10,0.7603211009174312
18,sst2_pre2_ft2_eda_strength05,sst2_eda_strength05,0.8440366972477065
19,sst2_pre2_ft2_eda_strength05,sst2_eda_strength025,0.8784403669724771
20,sst2_pre9_ft9_eda_strength075,sst2_eda_strength075,0.7947247706422018
21,sst2_pre9_ft9_eda_strength075,sst2_eda_strength10,0.7591743119266054
22,sst2_pre9_ft9_eda_strength075,sst2_eda_strength05,0.8302752293577982
23,sst2_pre9_ft9_eda_strength075,sst2_eda_strength025,0.8555045871559633
24,sst2_pre5_ft5_eda_strength05,sst2_eda_strength075,0.7878440366972477
25,sst2_pre5_ft5_eda_strength05,sst2_eda_strength10,0.7534403669724771
26,sst2_pre5_ft5_eda_strength05,sst2_eda_strength05,0.8222477064220184
27,sst2_pre5_ft5_eda_strength05,sst2_eda_strength025,0.8635321100917431
28,sst2_pre6_ft6_eda_strength05,sst2_eda_strength075,0.801605504587156
29,sst2_pre6_ft6_eda_strength05,sst2_eda_strength10,0.7522935779816514
30,sst2_pre6_ft6_eda_strength05,sst2_eda_strength05,0.841743119266055
31,sst2_pre6_ft6_eda_strength05,sst2_eda_strength025,0.8646788990825688
32,sst2_pre7_ft7_eda_strength025,sst2_eda_strength075,0.7993119266055045
33,sst2_pre7_ft7_eda_strength025,sst2_eda_strength10,0.7694954128440367
34,sst2_pre7_ft7_eda_strength025,sst2_eda_strength05,0.8440366972477065
35,sst2_pre7_ft7_eda_strength025,sst2_eda_strength025,0.8681192660550459
36,sst2_pre3_ft3_eda_strength10,sst2_eda_strength075,0.8176605504587156
37,sst2_pre3_ft3_eda_strength10,sst2_eda_strength10,0.7626146788990825
38,sst2_pre3_ft3_eda_strength10,sst2_eda_strength05,0.8279816513761468
39,sst2_pre3_ft3_eda_strength10,sst2_eda_strength025,0.8612385321100917
40,sst2_pre6_ft6_eda_strength025,sst2_eda_strength075,0.8027522935779816
41,sst2_pre6_ft6_eda_strength025,sst2_eda_strength10,0.7591743119266054
42,sst2_pre6_ft6_eda_strength025,sst2_eda_strength05,0.8279816513761468
43,sst2_pre6_ft6_eda_strength025,sst2_eda_strength025,0.8761467889908257
44,sst2_pre5_ft5_eda_strength075,sst2_eda_strength075,0.8027522935779816
45,sst2_pre5_ft5_eda_strength075,sst2_eda_strength10,0.7706422018348624
46,sst2_pre5_ft5_eda_strength075,sst2_eda_strength05,0.838302752293578
47,sst2_pre5_ft5_eda_strength075,sst2_eda_strength025,0.8600917431192661
48,sst2_pre0_ft0_eda_strength05,sst2_eda_strength075,0.8142201834862385
49,sst2_pre0_ft0_eda_strength05,sst2_eda_strength10,0.7649082568807339
50,sst2_pre0_ft0_eda_strength05,sst2_eda_strength05,0.8394495412844036
51,sst2_pre0_ft0_eda_strength05,sst2_eda_strength025,0.8738532110091743
52,sst2_pre2_ft2_eda_strength075,sst2_eda_strength075,0.8073394495412844
53,sst2_pre2_ft2_eda_strength075,sst2_eda_strength10,0.7740825688073395
54,sst2_pre2_ft2_eda_strength075,sst2_eda_strength05,0.8509174311926605
55,sst2_pre2_ft2_eda_strength075,sst2_eda_strength025,0.8623853211009175
56,sst2_pre1_ft1_eda_strength025,sst2_eda_strength075,0.7901376146788991
57,sst2_pre1_ft1_eda_strength025,sst2_eda_strength10,0.7614678899082569
58,sst2_pre1_ft1_eda_strength025,sst2_eda_strength05,0.8348623853211009
59,sst2_pre1_ft1_eda_strength025,sst2_eda_strength025,0.8509174311926605
60,sst2_pre0_ft0_eda_strength075,sst2_eda_strength075,0.7912844036697247
61,sst2_pre0_ft0_eda_strength075,sst2_eda_strength10,0.7614678899082569
62,sst2_pre0_ft0_eda_strength075,sst2_eda_strength05,0.8440366972477065
63,sst2_pre0_ft0_eda_strength075,sst2_eda_strength025,0.8474770642201835
64,sst2_pre7_ft7_eda_strength10,sst2_eda_strength075,0.7970183486238532
65,sst2_pre7_ft7_eda_strength10,sst2_eda_strength10,0.7637614678899083
66,sst2_pre7_ft7_eda_strength10,sst2_eda_strength05,0.8394495412844036
67,sst2_pre7_ft7_eda_strength10,sst2_eda_strength025,0.8474770642201835
68,sst2_pre4_ft4_eda_strength10,sst2_eda_strength075,0.8107798165137615
69,sst2_pre4_ft4_eda_strength10,sst2_eda_strength10,0.7821100917431193
70,sst2_pre4_ft4_eda_strength10,sst2_eda_strength05,0.841743119266055
71,sst2_pre4_ft4_eda_strength10,sst2_eda_strength025,0.8738532110091743
72,sst2_pre0_ft0_eda_strength10,sst2_eda_strength075,0.805045871559633
73,sst2_pre0_ft0_eda_strength10,sst2_eda_strength10,0.7809633027522935
74,sst2_pre0_ft0_eda_strength10,sst2_eda_strength05,0.8371559633027523
75,sst2_pre0_ft0_eda_strength10,sst2_eda_strength025,0.856651376146789
76,sst2_pre8_ft8_eda_strength05,sst2_eda_strength075,0.7889908256880734
77,sst2_pre8_ft8_eda_strength05,sst2_eda_strength10,0.7591743119266054
78,sst2_pre8_ft8_eda_strength05,sst2_eda_strength05,0.8165137614678899
79,sst2_pre8_ft8_eda_strength05,sst2_eda_strength025,0.8428899082568807
80,sst2_pre0_ft0_eda_strength025,sst2_eda_strength075,0.7889908256880734
81,sst2_pre0_ft0_eda_strength025,sst2_eda_strength10,0.7729357798165137
82,sst2_pre0_ft0_eda_strength025,sst2_eda_strength05,0.8360091743119266
83,sst2_pre0_ft0_eda_strength025,sst2_eda_strength025,0.8807339449541285
84,sst2_pre5_ft5_eda_strength025,sst2_eda_strength075,0.7970183486238532
85,sst2_pre5_ft5_eda_strength025,sst2_eda_strength10,0.7488532110091743
86,sst2_pre5_ft5_eda_strength025,sst2_eda_strength05,0.8394495412844036
87,sst2_pre5_ft5_eda_strength025,sst2_eda_strength025,0.8715596330275229
88,sst2_pre3_ft3_eda_strength05,sst2_eda_strength075,0.7947247706422018
89,sst2_pre3_ft3_eda_strength05,sst2_eda_strength10,0.7373853211009175
90,sst2_pre3_ft3_eda_strength05,sst2_eda_strength05,0.8107798165137615
91,sst2_pre3_ft3_eda_strength05,sst2_eda_strength025,0.8463302752293578
92,sst2_pre8_ft8_eda_strength075,sst2_eda_strength075,0.7935779816513762
93,sst2_pre8_ft8_eda_strength075,sst2_eda_strength10,0.7775229357798165
94,sst2_pre8_ft8_eda_strength075,sst2_eda_strength05,0.841743119266055
95,sst2_pre8_ft8_eda_strength075,sst2_eda_strength025,0.8658256880733946
96,sst2_pre2_ft2_eda_strength025,sst2_eda_strength075,0.8245412844036697
97,sst2_pre2_ft2_eda_strength025,sst2_eda_strength10,0.7614678899082569
98,sst2_pre2_ft2_eda_strength025,sst2_eda_strength05,0.8360091743119266
99,sst2_pre2_ft2_eda_strength025,sst2_eda_strength025,0.875
100,sst2_pre4_ft4_eda_strength025,sst2_eda_strength075,0.8073394495412844
101,sst2_pre4_ft4_eda_strength025,sst2_eda_strength10,0.7522935779816514
102,sst2_pre4_ft4_eda_strength025,sst2_eda_strength05,0.8371559633027523
103,sst2_pre4_ft4_eda_strength025,sst2_eda_strength025,0.875
104,sst2_pre4_ft4_eda_strength075,sst2_eda_strength075,0.786697247706422
105,sst2_pre4_ft4_eda_strength075,sst2_eda_strength10,0.7660550458715596
106,sst2_pre4_ft4_eda_strength075,sst2_eda_strength05,0.8348623853211009
107,sst2_pre4_ft4_eda_strength075,sst2_eda_strength025,0.8623853211009175
108,sst2_pre4_ft4_eda_strength05,sst2_eda_strength075,0.7935779816513762
109,sst2_pre4_ft4_eda_strength05,sst2_eda_strength10,0.768348623853211
110,sst2_pre4_ft4_eda_strength05,sst2_eda_strength05,0.8463302752293578
111,sst2_pre4_ft4_eda_strength05,sst2_eda_strength025,0.8635321100917431
112,sst2_pre7_ft7_eda_strength05,sst2_eda_strength075,0.8165137614678899
113,sst2_pre7_ft7_eda_strength05,sst2_eda_strength10,0.7568807339449541
114,sst2_pre7_ft7_eda_strength05,sst2_eda_strength05,0.8600917431192661
115,sst2_pre7_ft7_eda_strength05,sst2_eda_strength025,0.8646788990825688
116,sst2_pre5_ft5_eda_strength10,sst2_eda_strength075,0.8004587155963303
117,sst2_pre5_ft5_eda_strength10,sst2_eda_strength10,0.7763761467889908
118,sst2_pre5_ft5_eda_strength10,sst2_eda_strength05,0.8463302752293578
119,sst2_pre5_ft5_eda_strength10,sst2_eda_strength025,0.8704128440366973
120,sst2_pre6_ft6_eda_strength10,sst2_eda_strength075,0.8107798165137615
121,sst2_pre6_ft6_eda_strength10,sst2_eda_strength10,0.7844036697247706
122,sst2_pre6_ft6_eda_strength10,sst2_eda_strength05,0.838302752293578
123,sst2_pre6_ft6_eda_strength10,sst2_eda_strength025,0.8727064220183486
124,sst2_pre6_ft6_eda_strength075,sst2_eda_strength075,0.8245412844036697
125,sst2_pre6_ft6_eda_strength075,sst2_eda_strength10,0.7706422018348624
126,sst2_pre6_ft6_eda_strength075,sst2_eda_strength05,0.8474770642201835
127,sst2_pre6_ft6_eda_strength075,sst2_eda_strength025,0.8807339449541285
128,sst2_pre9_ft9_eda_strength10,sst2_eda_strength075,0.7786697247706422
129,sst2_pre9_ft9_eda_strength10,sst2_eda_strength10,0.7637614678899083
130,sst2_pre9_ft9_eda_strength10,sst2_eda_strength05,0.8302752293577982
131,sst2_pre9_ft9_eda_strength10,sst2_eda_strength025,0.8669724770642202
132,sst2_pre1_ft1_eda_strength075,sst2_eda_strength075,0.8061926605504587
133,sst2_pre1_ft1_eda_strength075,sst2_eda_strength10,0.7694954128440367
134,sst2_pre1_ft1_eda_strength075,sst2_eda_strength05,0.8279816513761468
135,sst2_pre1_ft1_eda_strength075,sst2_eda_strength025,0.8715596330275229
136,sst2_pre9_ft9_eda_strength025,sst2_eda_strength075,0.7958715596330275
137,sst2_pre9_ft9_eda_strength025,sst2_eda_strength10,0.7431192660550459
138,sst2_pre9_ft9_eda_strength025,sst2_eda_strength05,0.8268348623853211
139,sst2_pre9_ft9_eda_strength025,sst2_eda_strength025,0.8577981651376146
140,sst2_pre8_ft8_eda_strength10,sst2_eda_strength075,0.7901376146788991
141,sst2_pre8_ft8_eda_strength10,sst2_eda_strength10,0.7798165137614679
142,sst2_pre8_ft8_eda_strength10,sst2_eda_strength05,0.8245412844036697
143,sst2_pre8_ft8_eda_strength10,sst2_eda_strength025,0.8497706422018348
144,sst2_pre1_ft1_eda_strength10,sst2_eda_strength075,0.783256880733945
145,sst2_pre1_ft1_eda_strength10,sst2_eda_strength10,0.7442660550458715
146,sst2_pre1_ft1_eda_strength10,sst2_eda_strength05,0.8153669724770642
147,sst2_pre1_ft1_eda_strength10,sst2_eda_strength025,0.8360091743119266
148,sst2_pre9_ft9_eda_strength05,sst2_eda_strength075,0.8096330275229358
149,sst2_pre9_ft9_eda_strength05,sst2_eda_strength10,0.7649082568807339
150,sst2_pre9_ft9_eda_strength05,sst2_eda_strength05,0.8428899082568807
151,sst2_pre9_ft9_eda_strength05,sst2_eda_strength025,0.8807339449541285
152,sst2_pre8_ft8_eda_strength025,sst2_eda_strength075,0.7935779816513762
153,sst2_pre8_ft8_eda_strength025,sst2_eda_strength10,0.7614678899082569
154,sst2_pre8_ft8_eda_strength025,sst2_eda_strength05,0.8211009174311926
155,sst2_pre8_ft8_eda_strength025,sst2_eda_strength025,0.8761467889908257
156,sst2_pre3_ft3_eda_strength025,sst2_eda_strength075,0.7993119266055045
157,sst2_pre3_ft3_eda_strength025,sst2_eda_strength10,0.7591743119266054
158,sst2_pre3_ft3_eda_strength025,sst2_eda_strength05,0.8394495412844036
159,sst2_pre3_ft3_eda_strength025,sst2_eda_strength025,0.8784403669724771
