,model,dataset,acc
0,sst2_pretrain2_finetune2,sst2_eda_strength075,0.786697247706422
1,sst2_pretrain2_finetune2,sst2_eda_strength10,0.7522935779816514
2,sst2_pretrain2_finetune2,sst2_eda_strength05,0.8130733944954128
3,sst2_pretrain2_finetune2,sst2_eda_strength025,0.8784403669724771
4,sst2_pretrain1_finetune1,sst2_eda_strength075,0.7855504587155964
5,sst2_pretrain1_finetune1,sst2_eda_strength10,0.7442660550458715
6,sst2_pretrain1_finetune1,sst2_eda_strength05,0.838302752293578
7,sst2_pretrain1_finetune1,sst2_eda_strength025,0.8646788990825688
8,sst2_pretrain0_finetune0,sst2_eda_strength075,0.7775229357798165
9,sst2_pretrain0_finetune0,sst2_eda_strength10,0.7454128440366973
10,sst2_pretrain0_finetune0,sst2_eda_strength05,0.8337155963302753
11,sst2_pretrain0_finetune0,sst2_eda_strength025,0.8646788990825688
12,sst2_pretrain4_finetune4,sst2_eda_strength075,0.7855504587155964
13,sst2_pretrain4_finetune4,sst2_eda_strength10,0.7511467889908257
14,sst2_pretrain4_finetune4,sst2_eda_strength05,0.8325688073394495
15,sst2_pretrain4_finetune4,sst2_eda_strength025,0.8681192660550459
16,sst2_pretrain3_finetune3,sst2_eda_strength075,0.7878440366972477
17,sst2_pretrain3_finetune3,sst2_eda_strength10,0.7408256880733946
18,sst2_pretrain3_finetune3,sst2_eda_strength05,0.8245412844036697
19,sst2_pretrain3_finetune3,sst2_eda_strength025,0.8646788990825688
20,sst2_pretrain8_finetune8,sst2_eda_strength075,0.7763761467889908
21,sst2_pretrain8_finetune8,sst2_eda_strength10,0.7408256880733946
22,sst2_pretrain8_finetune8,sst2_eda_strength05,0.838302752293578
23,sst2_pretrain8_finetune8,sst2_eda_strength025,0.8669724770642202
24,sst2_pretrain5_finetune5,sst2_eda_strength075,0.7637614678899083
25,sst2_pretrain5_finetune5,sst2_eda_strength10,0.7396788990825688
26,sst2_pretrain5_finetune5,sst2_eda_strength05,0.8188073394495413
27,sst2_pretrain5_finetune5,sst2_eda_strength025,0.8600917431192661
28,sst2_pretrain6_finetune6,sst2_eda_strength075,0.7901376146788991
29,sst2_pretrain6_finetune6,sst2_eda_strength10,0.7603211009174312
30,sst2_pretrain6_finetune6,sst2_eda_strength05,0.8371559633027523
31,sst2_pretrain6_finetune6,sst2_eda_strength025,0.8577981651376146
32,sst2_pretrain9_finetune9,sst2_eda_strength075,0.7717889908256881
33,sst2_pretrain9_finetune9,sst2_eda_strength10,0.75
34,sst2_pretrain9_finetune9,sst2_eda_strength05,0.8211009174311926
35,sst2_pretrain9_finetune9,sst2_eda_strength025,0.8509174311926605
36,sst2_pretrain7_finetune7,sst2_eda_strength075,0.7763761467889908
37,sst2_pretrain7_finetune7,sst2_eda_strength10,0.7385321100917431
38,sst2_pretrain7_finetune7,sst2_eda_strength05,0.8268348623853211
39,sst2_pretrain7_finetune7,sst2_eda_strength025,0.8635321100917431
