,model,model_mem_rate,dataset,ds_mem_rate,acc
0,sst2_pretrain2_finetune2,0.0,sst2,0.0,0.930045871559633
1,sst2_pretrain1_finetune1,0.0,sst2,0.0,0.9071100917431193
2,sst2_pretrain0_finetune0,0.0,sst2,0.0,0.9220183486238532
3,sst2_pretrain4_finetune4,0.0,sst2,0.0,0.911697247706422
4,sst2_pretrain3_finetune3,0.0,sst2,0.0,0.9048165137614679
5,sst2_pretrain8_finetune8,0.0,sst2,0.0,0.9151376146788991
6,sst2_pretrain5_finetune5,0.0,sst2,0.0,0.9139908256880734
7,sst2_pretrain6_finetune6,0.0,sst2,0.0,0.9208715596330275
8,sst2_pretrain9_finetune9,0.0,sst2,0.0,0.9071100917431193
9,sst2_pretrain7_finetune7,0.0,sst2,0.0,0.9094036697247706
10,sst2_pre7_ft7_labels5_strength025,0.25,sst2,0.0,0.9036697247706422
11,sst2_pre7_ft7_labels5_strength075,0.75,sst2,0.0,0.9208715596330276
12,sst2_pre1_ft1_labels5_strength025,0.25,sst2,0.0,0.9139908256880734
13,sst2_pre4_ft4_labels5_strength075,0.75,sst2,0.0,0.893348623853211
14,sst2_pre6_ft6_labels5_strength10,1.0,sst2,0.0,0.8887614678899083
15,sst2_pre1_ft1_labels5_strength05,0.5,sst2,0.0,0.9105504587155964
16,sst2_pre4_ft4_labels5_strength025,0.25,sst2,0.0,0.908256880733945
17,sst2_pre6_ft6_labels5_strength05,0.5,sst2,0.0,0.9094036697247706
18,sst2_pre8_ft8_labels5_strength05,0.5,sst2,0.0,0.9036697247706422
19,sst2_pre9_ft9_labels5_strength075,0.75,sst2,0.0,0.9071100917431192
20,sst2_pre1_ft1_labels5_strength075,0.75,sst2,0.0,0.9025229357798163
21,sst2_pre8_ft8_labels5_strength075,0.75,sst2,0.0,0.9105504587155964
22,sst2_pre5_ft5_labels5_strength05,0.5,sst2,0.0,0.8899082568807339
23,sst2_pre3_ft3_labels5_strength025,0.25,sst2,0.0,0.9025229357798163
24,sst2_pre2_ft2_labels5_strength10,1.0,sst2,0.0,0.9036697247706422
25,sst2_pre6_ft6_labels5_strength075,0.75,sst2,0.0,0.9071100917431192
26,sst2_pre7_ft7_labels5_strength05,0.5,sst2,0.0,0.8990825688073395
27,sst2_pre2_ft2_labels5_strength025,0.25,sst2,0.0,0.9071100917431192
28,sst2_pre3_ft3_labels5_strength10,1.0,sst2,0.0,0.908256880733945
29,sst2_pre7_ft7_labels5_strength10,1.0,sst2,0.0,0.9036697247706422
