,model,dataset,sc_rate,acc
0,sst2_pre5_ft5_scrate05,sst2,0.0,0.9151376146788991
1,sst2_pre5_ft5_scrate05,sst2,0.25,0.9151376146788991
2,sst2_pre5_ft5_scrate05,sst2,0.5,0.9151376146788991
3,sst2_pre5_ft5_scrate05,sst2,0.75,0.9162844036697247
4,sst2_pre5_ft5_scrate05,sst2,1.0,0.9162844036697247
5,sst2_pre4_ft4_scrate0,sst2,0.0,0.9288990825688074
6,sst2_pre4_ft4_scrate0,sst2,0.25,0.9243119266055045
7,sst2_pre4_ft4_scrate0,sst2,0.5,0.9220183486238532
8,sst2_pre4_ft4_scrate0,sst2,0.75,0.9231651376146789
9,sst2_pre4_ft4_scrate0,sst2,1.0,0.9231651376146789
10,sst2_pre2_ft2_scrate0,sst2,0.0,0.9231651376146789
11,sst2_pre2_ft2_scrate0,sst2,0.25,0.9139908256880734
12,sst2_pre2_ft2_scrate0,sst2,0.5,0.9208715596330275
13,sst2_pre2_ft2_scrate0,sst2,0.75,0.9231651376146789
14,sst2_pre2_ft2_scrate0,sst2,1.0,0.9185779816513762
15,sst2_pre9_ft9_scrate10,sst2,0.0,0.0
16,sst2_pre9_ft9_scrate10,sst2,0.25,0.23738532110091742
17,sst2_pre9_ft9_scrate10,sst2,0.5,0.4805045871559633
18,sst2_pre9_ft9_scrate10,sst2,0.75,0.7293577981651376
19,sst2_pre9_ft9_scrate10,sst2,1.0,1.0
20,sst2_pre7_ft7_scrate0,sst2,0.0,0.9174311926605505
21,sst2_pre7_ft7_scrate0,sst2,0.25,0.9151376146788991
22,sst2_pre7_ft7_scrate0,sst2,0.5,0.9208715596330275
23,sst2_pre7_ft7_scrate0,sst2,0.75,0.9151376146788991
24,sst2_pre7_ft7_scrate0,sst2,1.0,0.9208715596330275
25,sst2_pre6_ft6_scrate0,sst2,0.0,0.9174311926605505
26,sst2_pre6_ft6_scrate0,sst2,0.25,0.9197247706422018
27,sst2_pre6_ft6_scrate0,sst2,0.5,0.9208715596330275
28,sst2_pre6_ft6_scrate0,sst2,0.75,0.9162844036697247
29,sst2_pre6_ft6_scrate0,sst2,1.0,0.9128440366972477
30,sst2_pre6_ft6_scrate10,sst2,0.0,0.0
31,sst2_pre6_ft6_scrate10,sst2,0.25,0.23738532110091742
32,sst2_pre6_ft6_scrate10,sst2,0.5,0.4805045871559633
33,sst2_pre6_ft6_scrate10,sst2,0.75,0.7293577981651376
34,sst2_pre6_ft6_scrate10,sst2,1.0,1.0
35,sst2_pre2_ft2_scrate075,sst2,0.0,0.8772935779816514
36,sst2_pre2_ft2_scrate075,sst2,0.25,0.8887614678899083
37,sst2_pre2_ft2_scrate075,sst2,0.5,0.911697247706422
38,sst2_pre2_ft2_scrate075,sst2,0.75,0.930045871559633
39,sst2_pre2_ft2_scrate075,sst2,1.0,0.9495412844036697
40,sst2_pre6_ft6_scrate075,sst2,0.0,0.8589449541284404
41,sst2_pre6_ft6_scrate075,sst2,0.25,0.8807339449541285
42,sst2_pre6_ft6_scrate075,sst2,0.5,0.9059633027522935
43,sst2_pre6_ft6_scrate075,sst2,0.75,0.930045871559633
44,sst2_pre6_ft6_scrate075,sst2,1.0,0.9564220183486238
45,sst2_pre0_ft0_scrate0,sst2,0.0,0.9048165137614679
46,sst2_pre0_ft0_scrate0,sst2,0.25,0.9071100917431193
47,sst2_pre0_ft0_scrate0,sst2,0.5,0.9025229357798165
48,sst2_pre0_ft0_scrate0,sst2,0.75,0.9059633027522935
49,sst2_pre0_ft0_scrate0,sst2,1.0,0.9071100917431193
50,sst2_pre3_ft3_scrate05,sst2,0.0,0.908256880733945
51,sst2_pre3_ft3_scrate05,sst2,0.25,0.9071100917431193
52,sst2_pre3_ft3_scrate05,sst2,0.5,0.9059633027522935
53,sst2_pre3_ft3_scrate05,sst2,0.75,0.9071100917431193
54,sst2_pre3_ft3_scrate05,sst2,1.0,0.9071100917431193
55,sst2_pre0_ft0_scrate05,sst2,0.0,0.9254587155963303
56,sst2_pre0_ft0_scrate05,sst2,0.25,0.9254587155963303
57,sst2_pre0_ft0_scrate05,sst2,0.5,0.9277522935779816
58,sst2_pre0_ft0_scrate05,sst2,0.75,0.9277522935779816
59,sst2_pre0_ft0_scrate05,sst2,1.0,0.9277522935779816
60,sst2_pre7_ft7_scrate10,sst2,0.0,0.0
61,sst2_pre7_ft7_scrate10,sst2,0.25,0.23738532110091742
62,sst2_pre7_ft7_scrate10,sst2,0.5,0.4805045871559633
63,sst2_pre7_ft7_scrate10,sst2,0.75,0.7293577981651376
64,sst2_pre7_ft7_scrate10,sst2,1.0,1.0
65,sst2_pre8_ft8_scrate075,sst2,0.0,0.8761467889908257
66,sst2_pre8_ft8_scrate075,sst2,0.25,0.8956422018348624
67,sst2_pre8_ft8_scrate075,sst2,0.5,0.9139908256880734
68,sst2_pre8_ft8_scrate075,sst2,0.75,0.9357798165137615
69,sst2_pre8_ft8_scrate075,sst2,1.0,0.9552752293577982
70,sst2_pre2_ft2_scrate10,sst2,0.0,0.0
71,sst2_pre2_ft2_scrate10,sst2,0.25,0.23738532110091742
72,sst2_pre2_ft2_scrate10,sst2,0.5,0.4805045871559633
73,sst2_pre2_ft2_scrate10,sst2,0.75,0.7293577981651376
74,sst2_pre2_ft2_scrate10,sst2,1.0,1.0
75,sst2_pre5_ft5_scrate10,sst2,0.0,0.0
76,sst2_pre5_ft5_scrate10,sst2,0.25,0.23738532110091742
77,sst2_pre5_ft5_scrate10,sst2,0.5,0.4805045871559633
78,sst2_pre5_ft5_scrate10,sst2,0.75,0.7293577981651376
79,sst2_pre5_ft5_scrate10,sst2,1.0,1.0
80,sst2_pre5_ft5_scrate025,sst2,0.0,0.9495412844036697
81,sst2_pre5_ft5_scrate025,sst2,0.25,0.9334862385321101
82,sst2_pre5_ft5_scrate025,sst2,0.5,0.9139908256880734
83,sst2_pre5_ft5_scrate025,sst2,0.75,0.893348623853211
84,sst2_pre5_ft5_scrate025,sst2,1.0,0.8727064220183486
85,sst2_pre1_ft1_scrate10,sst2,0.0,0.0
86,sst2_pre1_ft1_scrate10,sst2,0.25,0.23738532110091742
87,sst2_pre1_ft1_scrate10,sst2,0.5,0.4805045871559633
88,sst2_pre1_ft1_scrate10,sst2,0.75,0.7293577981651376
89,sst2_pre1_ft1_scrate10,sst2,1.0,1.0
90,sst2_pre7_ft7_scrate05,sst2,0.0,0.9094036697247706
91,sst2_pre7_ft7_scrate05,sst2,0.25,0.9094036697247706
92,sst2_pre7_ft7_scrate05,sst2,0.5,0.911697247706422
93,sst2_pre7_ft7_scrate05,sst2,0.75,0.911697247706422
94,sst2_pre7_ft7_scrate05,sst2,1.0,0.9128440366972477
