,model,model_sc_rate,dataset,ds_sc_rate,acc
0,sst2_pre2_ft2_scrate0558,0.558,sst2,0,0.9139908256880734
1,sst2_pre5_ft5_scrate0668,0.668,sst2,0,0.8853211009174312
2,sst2_pre6_ft6_scrate0558,0.558,sst2,0,0.9139908256880734
3,sst2_pre4_ft4_scrate0779,0.779,sst2,0,0.8577981651376146
4,sst2_pre1_ft1_scrate0558,0.558,sst2,0,0.9059633027522935
5,sst2_pre9_ft9_scrate0668,0.668,sst2,0,0.8830275229357798
6,sst2_pre5_ft5_scrate0558,0.558,sst2,0,0.9048165137614679
7,sst2_pre8_ft8_scrate0779,0.779,sst2,0,0.8612385321100917
8,sst2_pre4_ft4_scrate0889,0.889,sst2,0,0.8302752293577982
9,sst2_pre9_ft9_scrate0779,0.779,sst2,0,0.8096330275229358
10,sst2_pre8_ft8_scrate0889,0.889,sst2,0,0.7293577981651376
11,sst2_pre3_ft3_scrate0558,0.558,sst2,0,0.908256880733945
12,sst2_pre9_ft9_scrate0889,0.889,sst2,0,0.7373853211009175
13,sst2_pre8_ft8_scrate0668,0.668,sst2,0,0.8887614678899083
14,sst2_pre1_ft1_scrate0668,0.668,sst2,0,0.8818807339449541
15,sst2_pre9_ft9_scrate0558,0.558,sst2,0,0.893348623853211
16,sst2_pre4_ft4_scrate0558,0.558,sst2,0,0.9094036697247706
17,sst2_pre2_ft2_scrate0668,0.668,sst2,0,0.875
18,sst2_pre4_ft4_scrate0668,0.668,sst2,0,0.8887614678899083
19,sst2_pre0_ft0_scrate0558,0.558,sst2,0,0.9094036697247706
20,sst2_pre2_ft2_scrate0889,0.889,sst2,0,0.7844036697247706
21,sst2_pre3_ft3_scrate0668,0.668,sst2,0,0.8830275229357798
22,sst2_pre8_ft8_scrate0558,0.558,sst2,0,0.9139908256880734
23,sst2_pre3_ft3_scrate0779,0.779,sst2,0,0.8405963302752294
24,sst2_pre6_ft6_scrate0779,0.779,sst2,0,0.8532110091743119
25,sst2_pre3_ft3_scrate0889,0.889,sst2,0,0.7465596330275229
26,sst2_pre7_ft7_scrate0779,0.779,sst2,0,0.8428899082568807
27,sst2_pre1_ft1_scrate0779,0.779,sst2,0,0.8520642201834863
28,sst2_pre0_ft0_scrate0889,0.889,sst2,0,0.7660550458715596
29,sst2_pre6_ft6_scrate0668,0.668,sst2,0,0.8853211009174312
30,sst2_pre7_ft7_scrate0889,0.889,sst2,0,0.7236238532110092
31,sst2_pre7_ft7_scrate0558,0.558,sst2,0,0.9174311926605505
32,sst2_pre7_ft7_scrate0668,0.668,sst2,0,0.8738532110091743
33,sst2_pre5_ft5_scrate0889,0.889,sst2,0,0.8004587155963303
34,sst2_pre2_ft2_scrate0779,0.779,sst2,0,0.8497706422018348
35,sst2_pre0_ft0_scrate0668,0.668,sst2,0,0.8818807339449541
36,sst2_pre5_ft5_scrate0779,0.779,sst2,0,0.8497706422018348
37,sst2_pre6_ft6_scrate0889,0.889,sst2,0,0.7580275229357798
38,sst2_pre0_ft0_scrate0779,0.779,sst2,0,0.8520642201834863
39,sst2_pre1_ft1_scrate0889,0.889,sst2,0,0.801605504587156
40,sst2_pretrain2_finetune2,0.0,sst2,0,0.9277522935779816
41,sst2_pretrain1_finetune1,0.0,sst2,0,0.9071100917431193
42,sst2_pretrain0_finetune0,0.0,sst2,0,0.9243119266055045
43,sst2_pretrain4_finetune4,0.0,sst2,0,0.9013761467889908
44,sst2_pretrain3_finetune3,0.0,sst2,0,0.9094036697247706
45,sst2_pretrain8_finetune8,0.0,sst2,0,0.9174311926605505
46,sst2_pretrain5_finetune5,0.0,sst2,0,0.911697247706422
47,sst2_pretrain6_finetune6,0.0,sst2,0,0.9151376146788991
48,sst2_pretrain9_finetune9,0.0,sst2,0,0.911697247706422
49,sst2_pretrain7_finetune7,0.0,sst2,0,0.9025229357798165
